代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159869,2025-03-18,1.232736,1.208732,0.024004,1.9859,中等多头排列,0.7
159869,2025-03-17,1.23196,1.20647,0.02549,2.1128,强势多头排列,1.1
159869,2025-03-14,1.22868,1.202988,0.025692,2.1357,强势多头排列,1.33
159869,2025-03-13,1.222259,1.198107,0.024152,2.0158,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-03-12,1.22376,1.196835,0.026925,2.2497,强势多头排列,1.1
159869,2025-03-11,1.221717,1.193782,0.027935,2.34,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-03-10,1.22221,1.191765,0.030445,2.5546,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-03-07,1.222794,1.189586,0.033208,2.7916,强势多头排列,1.21
159869,2025-03-06,1.220029,1.185713,0.034316,2.8941,强势多头排列,1.33
159869,2025-03-05,1.213489,1.18009,0.033399,2.8302,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-03-04,1.216669,1.178817,0.037852,3.211,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-03-03,1.221155,1.177762,0.043393,3.6844,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-02-28,1.225728,1.176303,0.049425,4.2017,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2025-02-27,1.234951,1.176408,0.058543,4.9764,强势多头排列,1.21
159869,2025-02-26,1.23367,1.17116,0.06251,5.3374,EMA信号分化,0.0
159869,2025-02-25,1.233246,1.165973,0.067273,5.7697,震荡排列,0.0
159869,2025-02-24,1.233291,1.160611,0.07268,6.2622,强势多头排列,1.33
159869,2025-02-21,1.225344,1.1513,0.074044,6.4313,强势多头排列,1.33
159869,2025-02-20,1.212134,1.139564,0.07257,6.3682,强势多头排列,1.33
159869,2025-02-19,1.203613,1.130009,0.073604,6.5136,强势多头排列,1.33
159869,2025-02-18,1.189906,1.118089,0.071817,6.4232,强势多头排列,1.33
159869,2025-02-17,1.177889,1.107057,0.070832,6.3982,强势多头排列,1.33
159869,2025-02-14,1.155141,1.091381,0.06376,5.8421,强势多头排列,1.33
159869,2025-02-13,1.124439,1.072772,0.051667,4.8162,强势多头排列,1.33
159869,2025-02-12,1.102701,1.059073,0.043628,4.1195,强势多头排列,1.33
159869,2025-02-11,1.07901,1.045159,0.033851,3.2388,强势多头排列,1.33
159869,2025-02-10,1.058649,1.033492,0.025157,2.4342,强势多头排列,1.33
159869,2025-02-07,1.036585,1.021771,0.014814,1.4498,强势多头排列,1.33
159869,2025-02-06,1.018146,1.012473,0.005673,0.5603,强势多头排列,1.33
159869,2025-02-05,1.000354,1.004191,-0.003837,-0.3821,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-27,0.986782,0.998526,-0.011744,-1.1761,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-24,0.983469,0.998008,-0.014539,-1.4568,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-23,0.978827,0.997129,-0.018302,-1.8355,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-22,0.977523,0.998019,-0.020496,-2.0537,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-21,0.976891,0.999381,-0.02249,-2.2504,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-20,0.973417,0.999651,-0.026234,-2.6243,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-17,0.972038,1.001143,-0.029105,-2.9072,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-16,0.9715,1.003234,-0.031734,-3.1632,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-15,0.970681,1.005413,-0.034732,-3.4545,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-14,0.969533,1.007686,-0.038153,-3.7862,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2025-01-13,0.96872,1.010381,-0.041661,-4.1233,强势空头排列,-1.33
159869,2025-01-10,0.976306,1.017052,-0.040746,-4.0063,强势空头排列,-1.33
159869,2025-01-09,0.985816,1.024496,-0.03868,-3.7755,强势空头排列,-1.33
159869,2025-01-08,0.993055,1.030775,-0.03772,-3.6594,强势空头排列,-1.33
159869,2025-01-07,1.002156,1.037798,-0.035642,-3.4344,强势空头排列,-1.33
159869,2025-01-06,1.012185,1.045061,-0.032876,-3.1458,强势空头排列,-1.33
159869,2025-01-03,1.027855,1.054586,-0.026731,-2.5347,强势空头排列,-1.33
159869,2025-01-02,1.045283,1.064393,-0.01911,-1.7954,强势空头排列,-1.33
159869,2024-12-31,1.058425,1.071705,-0.01328,-1.2391,强势空头排列,-1.33
159869,2024-12-30,1.068866,1.077361,-0.008495,-0.7885,强势空头排列,-1.21
159869,2024-12-27,1.073751,1.08019,-0.006439,-0.5961,强势空头排列,-1.21
159869,2024-12-26,1.079524,1.083245,-0.003721,-0.3435,强势空头排列,-1.33
159869,2024-12-25,1.087437,1.087025,0.000412,0.0379,震荡排列,0.0
159869,2024-12-24,1.097153,1.091267,0.005886,0.5394,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-23,1.105181,1.094328,0.010853,0.9918,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-20,1.116123,1.098274,0.017849,1.6252,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-19,1.117418,1.097416,0.020002,1.8226,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-18,1.118767,1.096409,0.022358,2.0392,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-17,1.121997,1.096042,0.025955,2.3681,价格弱于EMA12但EMA12强于EMA26,0.0
159869,2024-12-16,1.128361,1.096765,0.031596,2.8808,震荡排列,0.0
159869,2024-12-13,1.128244,1.094187,0.034057,3.1125,强势多头排列,1.33
159869,2024-12-12,1.121198,1.088362,0.032836,3.017,强势多头排列,1.33
159869,2024-12-11,1.114506,1.08279,0.031716,2.9291,强势多头排列,1.33
159869,2024-12-10,1.108235,1.077494,0.030741,2.853,强势多头排列,1.33
159869,2024-12-09,1.101914,1.072253,0.029661,2.7662,强势多头排列,1.33
