代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159605,2025-06-27,1.056483,1.055524,0.000959,0.0909,震荡排列,0.0
159605,2025-06-26,1.055116,1.054846,0.00027,0.0256,震荡排列,0.0
159605,2025-06-25,1.054046,1.054353,-0.000307,-0.0291,震荡排列,0.0
159605,2025-06-24,1.050781,1.052942,-0.002161,-0.2052,价格强于EMA12但EMA12弱于EMA26,0.0
159605,2025-06-23,1.049469,1.052537,-0.003068,-0.2915,温和空头排列,-0.35
159605,2025-06-20,1.051191,1.05354,-0.002349,-0.223,中等空头排列,-0.77
159605,2025-06-19,1.055225,1.055503,-0.000278,-0.0263,震荡排列,0.0
159605,2025-06-18,1.060357,1.057783,0.002574,0.2433,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-06-17,1.06224,1.058406,0.003834,0.3622,震荡排列,0.0
159605,2025-06-16,1.062102,1.058038,0.004064,0.3841,震荡排列,0.0
159605,2025-06-13,1.062302,1.057801,0.004501,0.4255,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-06-12,1.065085,1.058666,0.006419,0.6063,温和多头排列,0.35
159605,2025-06-11,1.064191,1.057759,0.006432,0.6081,中等多头排列,0.77
159605,2025-06-10,1.060044,1.055419,0.004625,0.4382,中等多头排列,0.7
159605,2025-06-09,1.057506,1.053933,0.003573,0.339,中等多头排列,0.77
159605,2025-06-06,1.053417,1.051848,0.001569,0.1492,震荡排列,0.0
159605,2025-06-05,1.053129,1.051595,0.001534,0.1459,震荡排列,0.0
159605,2025-06-04,1.051516,1.050763,0.000753,0.0717,震荡排列,0.0
159605,2025-06-03,1.052155,1.050984,0.001171,0.1114,震荡排列,0.0
159605,2025-05-30,1.054729,1.052023,0.002706,0.2572,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-29,1.05868,1.053545,0.005135,0.4874,震荡排列,0.0
159605,2025-05-28,1.05844,1.053028,0.005412,0.5139,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-27,1.061792,1.054071,0.007721,0.7325,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-26,1.063209,1.054076,0.009133,0.8664,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-23,1.065611,1.054402,0.011209,1.0631,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-22,1.066449,1.053875,0.012574,1.1931,价格弱于EMA12但EMA12强于EMA26,0.0
159605,2025-05-21,1.067076,1.053144,0.013932,1.3229,中等多头排列,0.7
159605,2025-05-20,1.064181,1.050756,0.013425,1.2777,强势多头排列,1.21
159605,2025-05-19,1.060214,1.047937,0.012277,1.1715,中等多头排列,0.7
159605,2025-05-16,1.058071,1.046011,0.01206,1.153,中等多头排列,0.7
159605,2025-05-15,1.055174,1.043772,0.011402,1.0924,强势多头排列,1.21
159605,2025-05-14,1.049933,1.040554,0.009379,0.9013,强势多头排列,1.33
159605,2025-05-13,1.041194,1.035959,0.005235,0.5053,强势多头排列,1.21
159605,2025-05-12,1.036138,1.033315,0.002823,0.2732,强势多头排列,1.21
159605,2025-05-09,1.029618,1.03022,-0.000602,-0.0584,震荡排列,0.0
