代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10
563080,2025-06-27,1.1476,1.1402,1.1405,1.132733,0.0071,0.6225,0.0074
563080,2025-06-26,1.144,1.1394,1.1403,1.13295,0.0037,0.3245,0.0046
563080,2025-06-25,1.138,1.1384,1.1395,1.133083,-0.0015,-0.1316,-0.0004
563080,2025-06-24,1.1328,1.1371,1.13855,1.133033,-0.00575,-0.505,-0.0043
563080,2025-06-23,1.1314,1.136,1.13875,1.133333,-0.00735,-0.6454,-0.0046
563080,2025-06-20,1.1328,1.137,1.14025,1.133867,-0.00745,-0.6534,-0.0042
563080,2025-06-19,1.1348,1.1382,1.1421,1.134233,-0.0073,-0.6392,-0.0034
563080,2025-06-18,1.1388,1.1397,1.14415,1.135067,-0.00535,-0.4676,-0.0009
563080,2025-06-17,1.1414,1.1404,1.14545,1.13595,-0.00405,-0.3536,0.001
563080,2025-06-16,1.1406,1.1405,1.1462,1.136617,-0.0056,-0.4886,0.0001
563080,2025-06-13,1.1412,1.1408,1.14715,1.137217,-0.00595,-0.5187,0.0004
563080,2025-06-12,1.1416,1.1412,1.1483,1.137867,-0.0067,-0.5835,0.0004
563080,2025-06-11,1.1406,1.1406,1.14945,1.1378,-0.00885,-0.7699,0.0
563080,2025-06-10,1.1394,1.14,1.1497,1.137783,-0.0103,-0.8959,-0.0006
563080,2025-06-09,1.1404,1.1415,1.1506,1.137983,-0.0102,-0.8865,-0.0011
563080,2025-06-06,1.1404,1.1435,1.15055,1.138083,-0.01015,-0.8822,-0.0031
563080,2025-06-05,1.1408,1.146,1.1504,1.138233,-0.0096,-0.8345,-0.0052
563080,2025-06-04,1.1406,1.1486,1.1498,1.138417,-0.0092,-0.8001,-0.008
563080,2025-06-03,1.1406,1.1505,1.14885,1.138367,-0.00825,-0.7181,-0.0099
563080,2025-05-30,1.1426,1.1519,1.1476,1.138267,-0.005,-0.4357,-0.0093
563080,2025-05-29,1.1466,1.1535,1.14625,1.13825,0.00035,0.0305,-0.0069
563080,2025-05-28,1.1512,1.1554,1.1449,1.13825,0.0063,0.5503,-0.0042
563080,2025-05-27,1.1566,1.1583,1.1439,1.138583,0.0127,1.1102,-0.0017
563080,2025-05-26,1.1604,1.1594,1.1428,1.138833,0.0176,1.5401,0.001
563080,2025-05-23,1.1612,1.1597,1.14125,1.138817,0.01995,1.7481,0.0015
563080,2025-05-22,1.1604,1.1576,1.139,1.138833,0.0214,1.8788,0.0028
563080,2025-05-21,1.1596,1.1548,1.13635,1.1388,0.02325,2.046,0.0048
563080,2025-05-20,1.16,1.151,1.13345,1.1385,0.02655,2.3424,0.009
