代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列
588890,2025-06-27,1.691,1.6673,1.6734,1.697417,0.0176,1.0518,0.0237,弱势多头
588890,2025-06-26,1.6788,1.6617,1.6723,1.6979,0.0065,0.3887,0.0171,弱势多头
588890,2025-06-25,1.6686,1.6564,1.6696,1.69885,-0.001,-0.0599,0.0122,弱势多头
588890,2025-06-24,1.6548,1.6513,1.66635,1.69915,-0.01155,-0.6931,0.0035,弱势多头
588890,2025-06-23,1.6446,1.6499,1.6655,1.7,-0.0209,-1.2549,-0.0053,强势空头排列
588890,2025-06-20,1.6436,1.657,1.6657,1.70205,-0.0221,-1.3268,-0.0134,强势空头排列
588890,2025-06-19,1.6446,1.6646,1.66765,1.703883,-0.02305,-1.3822,-0.02,强势空头排列
588890,2025-06-18,1.6442,1.6712,1.66935,1.706567,-0.02515,-1.5066,-0.027,弱势空头
588890,2025-06-17,1.6478,1.6741,1.6718,1.709467,-0.024,-1.4356,-0.0263,弱势空头
588890,2025-06-16,1.6552,1.6785,1.6749,1.7131,-0.0197,-1.1762,-0.0233,弱势空头
588890,2025-06-13,1.6704,1.6795,1.67695,1.716317,-0.00655,-0.3906,-0.0091,弱势空头
588890,2025-06-12,1.6846,1.6829,1.67945,,0.00515,0.3066,0.0017,中期多头排列
588890,2025-06-11,1.6982,1.6828,1.68315,,0.01505,0.8942,0.0154,弱势多头
588890,2025-06-10,1.7004,1.6814,1.68565,,0.01475,0.875,0.019,弱势多头
588890,2025-06-09,1.7018,1.6811,1.68845,,0.01335,0.7907,0.0207,弱势多头
588890,2025-06-06,1.6886,1.6744,1.6882,,0.0004,0.0237,0.0142,弱势多头
588890,2025-06-05,1.6812,1.6707,1.6906,,-0.0094,-0.556,0.0105,弱势多头
588890,2025-06-04,1.6674,1.6675,1.69345,,-0.02605,-1.5383,-0.0001,中期空头排列
588890,2025-06-03,1.6624,1.6695,1.6985,,-0.0361,-2.1254,-0.0071,中期空头排列
588890,2025-05-30,1.6604,1.6713,1.7025,,-0.0421,-2.4728,-0.0109,中期空头排列
588890,2025-05-29,1.6602,1.6744,1.7065,,-0.0463,-2.7132,-0.0142,中期空头排列
588890,2025-05-28,1.6602,1.676,1.709,,-0.0488,-2.8555,-0.0158,中期空头排列
588890,2025-05-27,1.6676,1.6835,1.71275,,-0.04515,-2.6361,-0.0159,中期空头排列
588890,2025-05-26,1.6766,1.6899,1.71665,,-0.04005,-2.333,-0.0133,中期空头排列
588890,2025-05-23,1.6822,1.6958,1.72075,,-0.03855,-2.2403,-0.0136,中期空头排列
588890,2025-05-22,1.6886,1.702,1.7254,,-0.0368,-2.1328,-0.0134,中期空头排列
588890,2025-05-21,1.6918,1.7105,1.72925,,-0.03745,-2.1657,-0.0187,中期空头排列
588890,2025-05-20,1.6994,1.7194,1.7321,,-0.0327,-1.8879,-0.02,中期空头排列
588890,2025-05-19,1.7032,1.7275,1.735,,-0.0318,-1.8329,-0.0243,中期空头排列
588890,2025-05-16,1.7094,1.7337,1.7374,,-0.028,-1.6116,-0.0243,中期空头排列
588890,2025-05-15,1.7154,1.7386,1.73935,,-0.02395,-1.377,-0.0232,中期空头排列
588890,2025-05-14,1.7292,1.742,1.7419,,-0.0127,-0.7291,-0.0128,弱势空头
588890,2025-05-13,1.7394,1.742,1.74295,,-0.00355,-0.2037,-0.0026,中期空头排列
588890,2025-05-12,1.7518,1.7434,1.74005,,0.01175,0.6753,0.0084,中期多头排列
588890,2025-05-09,1.758,1.7457,1.73595,,0.02205,1.2702,0.0123,中期多头排列
588890,2025-05-08,1.7618,1.7488,1.7283,,0.0335,1.9383,0.013,中期多头排列
588890,2025-05-07,1.7548,1.748,1.7182,,0.0366,2.1301,0.0068,中期多头排列
588890,2025-05-06,1.7446,1.7448,1.7154,,0.0292,1.7022,-0.0002,弱势空头
588890,2025-04-30,1.735,1.7425,1.71305,,0.02195,1.2813,-0.0075,弱势空头
588890,2025-04-29,1.7334,1.7411,1.7121,,0.0213,1.2441,-0.0077,弱势空头
588890,2025-04-28,1.7358,1.7401,1.71235,,0.02345,1.3695,-0.0043,弱势空头
588890,2025-04-25,1.7412,1.7418,1.7124,,0.0288,1.6819,-0.0006,弱势空头
588890,2025-04-24,1.745,1.7439,1.7142,,0.0308,1.7968,0.0011,中期多头排列
588890,2025-04-23,1.75,1.7367,1.71445,,0.03555,2.0736,0.0133,中期多头排列
588890,2025-04-22,1.7488,1.7262,1.71375,,0.03505,2.0452,0.0226,中期多头排列
588890,2025-04-21,1.7444,1.7078,1.71505,,0.02935,1.7113,0.0366,弱势多头
588890,2025-04-18,1.7424,1.6884,1.71475,,0.02765,1.6125,0.054,弱势多头
588890,2025-04-17,1.7428,1.686,1.71825,,0.02455,1.4288,0.0568,弱势多头
588890,2025-04-16,1.7234,1.6836,1.7216,,0.0018,0.1046,0.0398,弱势多头
588890,2025-04-15,1.7036,1.6831,1.727,,-0.0234,-1.355,0.0205,弱势多头
588890,2025-04-14,1.6712,1.6846,1.73265,,-0.06145,-3.5466,-0.0134,中期空头排列
588890,2025-04-11,1.6344,1.683,,,,,-0.0486,
588890,2025-04-10,1.6292,1.6845,,,,,-0.0553,
588890,2025-04-09,1.6438,1.6922,,,,,-0.0484,
588890,2025-04-08,1.6626,1.7013,,,,,-0.0387,
588890,2025-04-07,1.698,1.7223,,,,,-0.0243,
588890,2025-04-03,1.7316,1.7411,,,,,-0.0095,
588890,2025-04-02,1.7398,1.7505,,,,,-0.0107,
588890,2025-04-01,1.7406,1.7596,,,,,-0.019,
588890,2025-03-31,1.74,1.7709,,,,,-0.0309,
588890,2025-03-28,1.7466,1.7807,,,,,-0.0341,
588890,2025-03-27,1.7506,,,,,,,
588890,2025-03-26,1.7612,,,,,,,
588890,2025-03-25,1.7786,,,,,,,
588890,2025-03-24,1.8018,,,,,,,
588890,2025-03-21,1.8148,,,,,,,
588890,2025-03-20,,,,,,,,
588890,2025-03-19,,,,,,,,
588890,2025-03-18,,,,,,,,
588890,2025-03-17,,,,,,,,
