代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10
513560,2025-06-27,1.3184,1.3041,1.3064,1.2723,0.012,0.9186,0.0143
513560,2025-06-26,1.3078,1.3019,1.3048,1.272567,0.003,0.2299,0.0059
513560,2025-06-25,1.2984,1.304,1.30245,1.27335,-0.00405,-0.311,-0.0056
513560,2025-06-24,1.2894,1.3052,1.2992,1.273433,-0.0098,-0.7543,-0.0158
513560,2025-06-23,1.2856,1.3059,1.2965,1.273517,-0.0109,-0.8407,-0.0203
513560,2025-06-20,1.2898,1.3096,1.2973,1.2748,-0.0075,-0.5781,-0.0198
513560,2025-06-19,1.296,1.3133,1.2996,1.2764,-0.0036,-0.277,-0.0173
513560,2025-06-18,1.3096,1.3172,1.30295,1.278883,0.00665,0.5104,-0.0076
513560,2025-06-17,1.321,1.3172,1.30435,1.28135,0.01665,1.2765,0.0038
513560,2025-06-16,1.3262,1.3139,1.30365,1.283583,0.02255,1.7298,0.0123
513560,2025-06-13,1.3294,1.3087,1.30265,1.285017,0.02675,2.0535,0.0207
513560,2025-06-12,1.3306,1.3077,1.3023,1.286683,0.0283,2.1731,0.0229
513560,2025-06-11,1.3248,1.3009,1.30065,1.286933,0.02415,1.8568,0.0239
513560,2025-06-10,1.3134,1.2932,1.29725,1.287183,0.01615,1.2449,0.0202
513560,2025-06-09,1.3016,1.2871,1.2951,1.28785,0.0065,0.5019,0.0145
513560,2025-06-06,1.288,1.285,1.2924,1.2885,-0.0044,-0.3405,0.003
513560,2025-06-05,1.2848,1.2859,1.29115,1.29,-0.00635,-0.4918,-0.0011
513560,2025-06-04,1.277,1.2887,1.2898,1.291633,-0.0128,-0.9924,-0.0117
513560,2025-06-03,1.273,1.2915,1.28995,1.29255,-0.01695,-1.314,-0.0185
513560,2025-05-30,1.2726,1.2934,1.2893,1.29315,-0.0167,-1.2953,-0.0208
513560,2025-05-29,1.282,1.2966,1.2885,1.294067,-0.0065,-0.5045,-0.0146
513560,2025-05-28,1.287,1.2969,1.28655,1.294617,0.00045,0.035,-0.0099
513560,2025-05-27,1.3004,1.3004,1.28625,1.297017,0.01415,1.1001,0.0
513560,2025-05-26,1.31,1.3013,1.28485,1.299433,0.02515,1.9574,0.0087
513560,2025-05-23,1.3142,1.3031,1.2847,1.30075,0.0295,2.2963,0.0111
513560,2025-05-22,1.3112,1.2998,1.2801,1.3018,0.0311,2.4295,0.0114
513560,2025-05-21,1.3068,1.2964,1.27395,1.30255,0.03285,2.5786,0.0104
513560,2025-05-20,1.3004,1.2909,1.2664,1.301767,0.034,2.6848,0.0095
513560,2025-05-19,1.2926,1.2884,1.2597,1.3016,0.0329,2.6117,0.0042
513560,2025-05-16,1.292,1.2852,1.254,1.301383,0.038,3.0303,0.0068
513560,2025-05-15,1.2884,1.2804,1.25025,1.300633,0.03815,3.0514,0.008
513560,2025-05-14,1.286,1.2762,1.2468,1.299533,0.0392,3.144,0.0098
513560,2025-05-13,1.2814,1.2721,1.24205,1.2979,0.03935,3.1681,0.0093
513560,2025-05-12,1.2842,1.2684,1.23665,1.296567,0.04755,3.8451,0.0158
513560,2025-05-09,1.2784,1.2663,1.22815,1.294633,0.05025,4.0915,0.0121
513560,2025-05-08,1.2724,1.2604,1.2193,1.293533,0.0531,4.355,0.012
513560,2025-05-07,1.2664,1.2515,1.21345,1.294217,0.05295,4.3636,0.0149
513560,2025-05-06,1.2628,1.2419,1.21415,1.29325,0.04865,4.0069,0.0209
