代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列,排列评分
159615,2025-06-27,1.0484,1.0419,1.0378,0.929333,0.0106,1.0214,0.0065,长期温和多头排列,0.48
159615,2025-06-26,1.0442,1.0485,1.03415,0.926883,0.01005,0.9718,-0.0043,方向分化,0.0
159615,2025-06-25,1.0368,1.0563,1.0281,0.924067,0.0087,0.8462,-0.0195,方向分化,0.0
159615,2025-06-24,1.0308,1.0573,1.02115,0.920183,0.00965,0.945,-0.0265,方向分化,0.0
159615,2025-06-23,1.0256,1.0589,1.0132,0.916317,0.0124,1.2238,-0.0333,方向分化,0.0
159615,2025-06-20,1.0354,1.0598,1.00755,0.913083,0.02785,2.7641,-0.0244,方向分化,0.0
159615,2025-06-19,1.0528,1.0592,1.00335,0.910433,0.04945,4.9285,-0.0064,方向分化,0.0
159615,2025-06-18,1.0758,1.057,0.99975,0.9084,0.07605,7.6069,0.0188,长期强势多头排列,1.58
159615,2025-06-17,1.0838,1.0533,0.994,0.905767,0.0898,9.0342,0.0305,长期强势多头排列,1.58
159615,2025-06-16,1.0922,1.0464,0.98635,0.902967,0.10585,10.7315,0.0458,长期强势多头排列,1.58
159615,2025-06-13,1.0842,1.0337,0.9758,0.898933,0.1084,11.1088,0.0505,长期强势多头排列,1.58
159615,2025-06-12,1.0656,1.0198,0.96405,0.89485,0.10155,10.5337,0.0458,长期强势多头排列,1.58
159615,2025-06-11,1.0382,0.9999,0.9511,0.88965,0.0871,9.1578,0.0383,长期强势多头排列,1.58
159615,2025-06-10,1.0228,0.985,0.9402,0.88535,0.0826,8.7854,0.0378,长期强势多头排列,1.58
159615,2025-06-09,1.0006,0.9675,0.92855,0.880983,0.07205,7.7594,0.0331,长期强势多头排列,1.58
159615,2025-06-06,0.9832,0.9553,0.92005,0.877067,0.06315,6.8638,0.0279,长期强势多头排列,1.58
159615,2025-06-05,0.974,0.9475,0.91345,0.87415,0.06055,6.6287,0.0265,长期强势多头排列,1.58
159615,2025-06-04,0.9616,0.9425,0.90795,0.871483,0.05365,5.9089,0.0191,长期强势多头排列,1.58
159615,2025-06-03,0.9472,0.9347,0.90315,0.868417,0.04405,4.8774,0.0125,长期强势多头排列,1.58
159615,2025-05-30,0.9344,0.9263,0.89975,0.865683,0.03465,3.8511,0.0081,长期强势多头排列,1.44
159615,2025-05-29,0.9274,0.9179,0.89665,0.863067,0.03075,3.4294,0.0095,长期强势多头排列,1.44
159615,2025-05-28,0.921,0.9083,0.8934,0.8606,0.0276,3.0893,0.0127,长期强势多头排列,1.44
159615,2025-05-27,0.9234,0.9023,0.89255,0.859267,0.03085,3.4564,0.0211,长期强势多头排列,1.44
159615,2025-05-26,0.9222,0.8954,0.89135,0.857833,0.03085,3.461,0.0268,长期强势多头排列,1.44
159615,2025-05-23,0.9182,0.8896,0.8909,0.856267,0.0273,3.0643,0.0286,震荡排列,0.0
159615,2025-05-22,0.9084,0.8848,0.88865,0.854533,0.01975,2.2225,0.0236,方向分化,0.0
159615,2025-05-21,0.8956,0.8794,0.8842,0.852983,0.0114,1.2893,0.0162,方向分化,0.0
159615,2025-05-20,0.8812,0.8734,0.8788,0.850717,0.0024,0.2731,0.0078,方向分化,0.0
159615,2025-05-19,0.8686,0.8716,0.87405,0.848567,-0.00545,-0.6235,-0.003,温和空头排列,-0.4
159615,2025-05-16,0.861,0.8732,0.8714,0.84675,-0.0104,-1.1935,-0.0122,方向分化,0.0
159615,2025-05-15,0.8612,0.8754,0.8702,0.84505,-0.009,-1.0342,-0.0142,方向分化,0.0
159615,2025-05-14,0.8632,0.8785,0.87025,0.84325,-0.00705,-0.8101,-0.0153,方向分化,0.0
159615,2025-05-13,0.8656,0.8828,0.86815,0.841,-0.00255,-0.2937,-0.0172,方向分化,0.0
159615,2025-05-12,0.8746,0.8873,0.8645,0.838767,0.0101,1.1683,-0.0127,方向分化,0.0
159615,2025-05-09,0.8854,0.8922,0.8604,0.83675,0.025,2.9056,-0.0068,方向分化,0.0
159615,2025-05-08,0.8896,0.8925,0.8541,0.834417,0.0355,4.1564,-0.0029,方向分化,0.0
159615,2025-05-07,0.8938,0.889,0.8513,0.832,0.0425,4.9924,0.0048,长期强势多头排列,1.58
159615,2025-05-06,0.9,0.8842,0.8528,0.829433,0.0472,5.5347,0.0158,长期强势多头排列,1.58
159615,2025-04-30,0.9,0.8765,0.8532,0.82595,0.0468,5.4852,0.0235,长期强势多头排列,1.58
159615,2025-04-29,0.899,0.8696,0.8544,0.822433,0.0446,5.22,0.0294,长期强势多头排列,1.58
159615,2025-04-28,0.8954,0.865,0.85355,0.81885,0.04185,4.9031,0.0304,长期强势多头排列,1.58
159615,2025-04-25,0.8842,0.862,0.8531,0.815233,0.0311,3.6455,0.0222,长期强势多头排列,1.44
159615,2025-04-24,0.8684,0.8535,0.85155,0.8114,0.01685,1.9787,0.0149,方向分化,0.0
159615,2025-04-23,0.853,0.8417,0.84805,0.80765,0.00495,0.5837,0.0113,方向分化,0.0
159615,2025-04-22,0.8402,0.8286,0.84485,0.8041,-0.00465,-0.5504,0.0116,方向分化,0.0
159615,2025-04-21,0.8346,0.8157,0.84305,0.800583,-0.00845,-1.0023,0.0189,方向分化,0.0
159615,2025-04-18,0.8398,0.8136,0.84375,0.797733,-0.00395,-0.4681,0.0262,方向分化,0.0
159615,2025-04-17,0.8386,0.8214,0.84665,0.795067,-0.00805,-0.9508,0.0172,方向分化,0.0
159615,2025-04-16,0.8304,0.8299,0.84925,0.7925,-0.01885,-2.2196,0.0005,震荡排列,0.0
159615,2025-04-15,0.817,0.8392,0.85115,0.789567,-0.03415,-4.0122,-0.0222,强势空头排列,-1.32
159615,2025-04-14,0.7968,0.8421,0.8508,0.786367,-0.054,-6.347,-0.0453,强势空头排列,-1.32
159615,2025-04-11,0.7874,0.8442,0.85025,0.7831,-0.06285,-7.3919,-0.0568,强势空头排列,-1.32
159615,2025-04-10,0.8042,0.8496,0.8497,0.780417,-0.0455,-5.3548,-0.0454,震荡排列,0.0
159615,2025-04-09,0.8294,0.8544,0.85135,0.77845,-0.02195,-2.5783,-0.025,方向分化,0.0
159615,2025-04-08,0.8614,0.8611,0.854,0.776983,0.0074,0.8665,0.0003,震荡排列,0.0
159615,2025-04-07,0.8874,0.8704,0.85705,0.775733,0.03035,3.5412,0.017,长期强势多头排列,1.44
159615,2025-04-03,0.901,0.8739,0.8577,0.773517,0.0433,5.0484,0.0271,长期强势多头排列,1.58
159615,2025-04-02,0.895,0.8719,0.8537,0.770017,0.0413,4.8378,0.0231,长期强势多头排列,1.58
159615,2025-04-01,0.8794,0.8686,0.8489,0.766433,0.0305,3.5929,0.0108,长期强势多头排列,1.44
159615,2025-03-31,0.8608,0.8631,0.8429,0.7626,0.0179,2.1236,-0.0023,方向分化,0.0
159615,2025-03-28,0.8534,0.8595,0.839,0.759583,0.0144,1.7163,-0.0061,方向分化,0.0
159615,2025-03-27,0.8468,0.8563,0.8353,0.756517,0.0115,1.3768,-0.0095,方向分化,0.0
159615,2025-03-26,0.8488,0.8498,0.8337,0.753617,0.0151,1.8112,-0.001,震荡排列,0.0
159615,2025-03-25,0.8578,0.8483,0.8341,0.75125,0.0237,2.8414,0.0095,长期中等多头排列,0.96
159615,2025-03-24,0.8654,0.8469,0.83305,0.74895,0.03235,3.8833,0.0185,长期强势多头排列,1.44
159615,2025-03-21,0.8656,0.8437,0.8319,0.7465,0.0337,4.051,0.0219,长期强势多头排列,1.58
159615,2025-03-20,0.8658,0.8415,0.831,0.744,0.0348,4.1877,0.0243,长期强势多头排列,1.58
159615,2025-03-19,0.8508,0.8355,0.8267,0.74085,0.0241,2.9152,0.0153,长期中等多头排列,0.96
159615,2025-03-18,0.8388,0.8292,0.8224,0.737817,0.0164,1.9942,0.0096,长期中等多头排列,0.96
159615,2025-03-17,0.8284,0.8227,0.8177,0.735183,0.0107,1.3085,0.0057,长期温和多头排列,0.48
159615,2025-03-14,0.8218,0.8185,0.81415,0.733217,0.00765,0.9396,0.0033,长期温和多头排列,0.48
159615,2025-03-13,0.8172,0.8143,0.80925,0.731067,0.00795,0.9824,0.0029,长期温和多头排列,0.48
159615,2025-03-12,0.8202,0.8176,0.80515,0.729667,0.01505,1.8692,0.0026,长期中等多头排列,0.96
159615,2025-03-11,0.8196,0.8199,0.80045,0.728117,0.01915,2.3924,-0.0003,震荡排列,0.0
159615,2025-03-10,0.817,0.8192,0.79585,0.7265,0.02115,2.6575,-0.0022,方向分化,0.0
159615,2025-03-07,0.8152,0.8201,0.7921,0.72475,0.0231,2.9163,-0.0049,方向分化,0.0
159615,2025-03-06,0.8114,0.8205,0.787,0.7229,0.0244,3.1004,-0.0091,方向分化,0.0
159615,2025-03-05,0.815,0.8179,0.7818,0.721183,0.0332,4.2466,-0.0029,方向分化,0.0
159615,2025-03-04,0.8202,0.8156,0.77575,0.7195,0.04445,5.7299,0.0046,长期强势多头排列,1.58
159615,2025-03-03,0.8214,0.8127,0.77,0.717917,0.0514,6.6753,0.0087,长期强势多头排列,1.58
