代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20250402,0.674,0.675867,0.682364,0.683195,-0.007328,-1.0726,-0.001867,微弱空头排列,-0.05
159766,20250401,0.673333,0.678533,0.684145,0.683633,-0.0051,-0.746,-0.0052,震荡排列,0.0
159766,20250331,0.677,0.683533,0.686545,0.684205,-0.000672,-0.0982,-0.006533,震荡排列,0.0
159766,20250328,0.689333,0.692133,0.6904,0.685319,0.006814,0.9943,-0.0028,温和多头排列,0.3
159766,20250327,0.6975,0.695867,0.691818,0.68501,0.010857,1.5849,0.001633,中等多头排列,0.6
159766,20250326,0.699333,0.6948,0.6906,0.683438,0.011362,1.6625,0.004533,中等多头排列,0.6
159766,20250325,0.693333,0.69,0.687364,0.68089,0.00911,1.338,0.003333,中等多头排列,0.6
159766,20250324,0.686,0.685467,0.684236,0.678414,0.007053,1.0396,0.000533,微弱多头排列,0.05
159766,20250321,0.681167,0.683,0.681964,0.676452,0.006548,0.968,-0.001833,微弱多头排列,0.05
159766,20250320,0.684333,0.685467,0.681909,0.675605,0.009862,1.4597,-0.001134,中等多头排列,0.6
159766,20250319,0.687,0.686067,0.681109,0.674314,0.011753,1.743,0.000933,中等多头排列,0.6
159766,20250318,0.688,0.684333,0.679182,0.672467,0.011866,1.7645,0.003667,中等多头排列,0.6
159766,20250317,0.684833,0.681067,0.676418,0.670229,0.010838,1.6171,0.003766,中等多头排列,0.6
159766,20250314,0.678833,0.676533,0.673182,0.667867,0.008666,1.2976,0.0023,中等多头排列,0.6
159766,20250313,0.670667,0.670867,0.669491,0.6654,0.005467,0.8216,-0.0002,温和多头排列,0.3
159766,20250312,0.672,0.671667,0.669255,0.664748,0.006919,1.0408,0.000333,温和多头排列,0.3
159766,20250311,0.672333,0.671333,0.6684,0.663881,0.007452,1.1225,0.001,温和多头排列,0.3
159766,20250310,0.67,0.6688,0.666436,0.662581,0.006219,0.9386,0.0012,温和多头排列,0.3
159766,20250307,0.669833,0.6678,0.6654,0.661871,0.005929,0.8958,0.002033,温和多头排列,0.3
159766,20250306,0.667167,0.6656,0.663673,0.660929,0.004671,0.7067,0.001567,温和多头排列,0.3
159766,20250305,0.663,0.663267,0.661545,0.659924,0.003343,0.5066,-0.000267,温和多头排列,0.3
159766,20250304,0.662167,0.6628,0.660418,0.659538,0.003262,0.4946,-0.000633,微弱多头排列,0.05
159766,20250303,0.6635,0.662467,0.659364,0.659386,0.003081,0.4673,0.001033,震荡排列,0.0
159766,20250228,0.664,0.662,0.658309,0.659281,0.002719,0.4124,0.002,震荡排列,0.0
159766,20250227,0.6625,0.660533,0.657127,0.659081,0.001452,0.2203,0.001967,震荡排列,0.0
159766,20250226,0.6565,0.655733,0.654873,0.658281,-0.002548,-0.3871,0.000767,震荡排列,0.0
159766,20250225,0.655833,0.6544,0.654964,0.658724,-0.004324,-0.6564,0.001433,微弱空头排列,-0.05
159766,20250224,0.655833,0.653533,0.655782,0.659576,-0.006043,-0.9162,0.0023,温和空头排列,-0.3
159766,20250221,0.651,0.6508,0.655745,0.659938,-0.009138,-1.3847,0.0002,中等空头排列,-0.6
159766,20250220,0.6485,0.651267,0.657145,0.661071,-0.009804,-1.483,-0.002767,中等空头排列,-0.6
159766,20250219,0.650167,0.654467,0.659436,0.662695,-0.008228,-1.2416,-0.0043,中等空头排列,-0.6
159766,20250218,0.654667,0.6588,0.661818,0.664419,-0.005619,-0.8457,-0.004133,温和空头排列,-0.3
159766,20250217,0.664667,0.665333,0.6652,0.666424,-0.001091,-0.1637,-0.000666,震荡排列,0.0
159766,20250214,0.667333,0.667267,0.665855,0.666819,0.000448,0.0672,6.6e-05,震荡排列,0.0
159766,20250213,0.667667,0.6676,0.665727,0.666805,0.000795,0.1192,6.7e-05,震荡排列,0.0
159766,20250212,0.6665,0.6658,0.664745,0.666376,-0.000576,-0.0864,0.0007,震荡排列,0.0
159766,20250211,0.666667,0.664533,0.664709,0.666333,-0.0018,-0.2701,0.002134,微弱空头排列,-0.05
159766,20250210,0.666833,0.6644,0.665327,0.666481,-0.002081,-0.3122,0.002433,微弱空头排列,-0.05
159766,20250207,0.659333,0.6612,0.664382,0.665771,-0.004571,-0.6866,-0.001867,温和空头排列,-0.3
159766,20250206,0.658833,0.661733,0.665673,0.666271,-0.004538,-0.6811,-0.0029,微弱空头排列,-0.05
159766,20250205,0.662667,0.663933,0.667945,0.667376,-0.003443,-0.5159,-0.001266,震荡排列,0.0
159766,20250127,0.67,0.669067,0.671236,0.669148,-8.1e-05,-0.0121,0.000933,震荡排列,0.0
159766,20250124,0.6675,0.669133,0.670964,0.669571,-0.000438,-0.0654,-0.001633,震荡排列,0.0
159766,20250123,0.6655,0.6692,0.67,0.670124,-0.000924,-0.1379,-0.0037,微弱空头排列,-0.05
159766,20250122,0.670833,0.673067,0.670618,0.671795,0.001272,0.1893,-0.002234,震荡排列,0.0
159766,20250121,0.6785,0.677533,0.671236,0.673752,0.003781,0.5612,0.000967,震荡排列,0.0
159766,20250120,0.678167,0.676467,0.668927,0.674476,0.001991,0.2952,0.0017,震荡排列,0.0
159766,20250117,0.6755,0.6724,0.665964,0.675267,-0.002867,-0.4246,0.0031,震荡排列,0.0
159766,20250116,0.673167,0.667133,0.663473,0.676633,-0.0095,-1.404,0.006034,震荡排列,0.0
159766,20250115,0.666833,0.661533,0.661727,0.678524,-0.016991,-2.5041,0.0053,微弱空头排列,-0.05
159766,20250114,0.657333,0.656333,0.661127,0.681048,-0.024715,-3.629,0.001,强势空头排列,-1.0
