代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5
513090,20250627,1.841667,1.816667,1.754127,1.712671,0.103996,6.0722,0.025
513090,20250626,1.8305,1.784867,1.730691,1.696224,0.088643,5.2259,0.045633
513090,20250625,1.789167,1.737467,1.704727,1.678286,0.059181,3.5263,0.0517
513090,20250624,1.683,1.663067,1.668182,1.654886,0.008181,0.4944,0.019933
513090,20250623,1.629167,1.637067,1.6568,1.644495,-0.007428,-0.4517,-0.0079
513090,20250620,1.615,1.639467,1.658855,1.640538,-0.001071,-0.0653,-0.024467
513090,20250619,1.643667,1.661667,1.669764,1.640786,0.020881,1.2726,-0.018
513090,20250618,1.693,1.691867,1.681909,1.641243,0.050624,3.0845,0.001133
513090,20250617,1.706667,1.7006,1.680164,1.634505,0.066095,4.0437,0.006067
513090,20250616,1.692,1.687867,1.666655,1.62221,0.065657,4.0474,0.004133
513090,20250613,1.679,1.674333,1.651891,1.609886,0.064447,4.0032,0.004667
513090,20250612,1.686,1.673133,1.6438,1.601452,0.071681,4.476,0.012867
513090,20250611,1.669333,1.6558,1.626545,1.589243,0.066557,4.188,0.013533
513090,20250610,1.640833,1.633,1.606836,1.57649,0.05651,3.5845,0.007833
513090,20250609,1.634,1.621867,1.594182,1.568095,0.053772,3.4291,0.012133
513090,20250606,1.612167,1.600267,1.5772,1.557881,0.042386,2.7207,0.0119
513090,20250605,1.601833,1.588467,1.565964,1.550971,0.037496,2.4176,0.013366
513090,20250604,1.577167,1.5682,1.552291,1.542943,0.025257,1.6369,0.008967
513090,20250603,1.558,1.551067,1.541764,1.536567,0.0145,0.9437,0.006933
513090,20250530,1.549167,1.542467,1.536873,1.532867,0.0096,0.6263,0.0067
513090,20250529,1.542,1.5358,1.533491,1.5297,0.0061,0.3988,0.0062
513090,20250528,1.523667,1.524067,1.528109,1.525152,-0.001085,-0.0711,-0.0004
513090,20250527,1.524833,1.526533,1.530382,1.523924,0.002609,0.1712,-0.0017
513090,20250526,1.523167,1.527733,1.5314,1.521681,0.006052,0.3977,-0.004566
513090,20250523,1.529667,1.5324,1.534182,1.519881,0.012519,0.8237,-0.002733
513090,20250522,1.536,1.535333,1.535436,1.517186,0.018147,1.1961,0.000667
513090,20250521,1.540833,1.537667,1.535564,1.51361,0.024057,1.5894,0.003166
513090,20250520,1.534167,1.535867,1.532036,1.507905,0.027962,1.8544,-0.0017
513090,20250519,1.530667,1.534733,1.528582,1.50219,0.032543,2.1664,-0.004066
513090,20250516,1.535833,1.536267,1.5248,1.496576,0.039691,2.6521,-0.000434
513090,20250515,1.544167,1.538267,1.521,1.49131,0.046957,3.1487,0.0059
513090,20250514,1.544,1.532733,1.512655,1.484038,0.048695,3.2813,0.011267
513090,20250513,1.520333,1.5156,1.498236,1.473867,0.041733,2.8315,0.004733
513090,20250512,1.516667,1.510733,1.490291,1.467224,0.043509,2.9654,0.005934
513090,20250509,1.4985,1.493667,1.477545,1.457924,0.035743,2.4516,0.004833
513090,20250508,1.502,1.488733,1.472182,1.452167,0.036566,2.518,0.013267
513090,20250507,1.487,1.474667,1.4624,1.444314,0.030353,2.1016,0.012333
513090,20250506,1.463333,1.4586,1.4516,1.436924,0.021676,1.5085,0.004733
513090,20250430,1.444667,1.446333,1.443418,1.431886,0.014447,1.0089,-0.001666
513090,20250429,1.448,1.447667,1.441764,1.431033,0.016634,1.1624,0.000333
513090,20250428,1.4505,1.448933,1.440182,1.4307,0.018233,1.2744,0.001567
513090,20250425,1.45,1.446133,1.437127,1.430305,0.015828,1.1066,0.003867
513090,20250424,1.441333,1.4376,1.431618,1.429729,0.007871,0.5505,0.003733
513090,20250423,1.442833,1.435867,1.429473,1.432186,0.003681,0.257,0.006966
513090,20250422,1.4295,1.425467,1.421982,1.433586,-0.008119,-0.5663,0.004033
513090,20250421,1.420833,1.4204,1.415182,1.43731,-0.01691,-1.1765,0.000433
513090,20250418,1.416833,1.420667,1.410073,1.443186,-0.022519,-1.5604,-0.003834
513090,20250417,1.419,1.422667,1.408291,1.450757,-0.02809,-1.9362,-0.003667
513090,20250416,1.425333,1.422533,1.409236,1.459686,-0.037153,-2.5453,0.0028
513090,20250415,1.433833,1.4188,1.413273,1.470257,-0.051457,-3.4999,0.015033
513090,20250414,1.420833,1.398933,1.414673,1.479629,-0.080696,-5.4538,0.0219
513090,20250411,1.390167,1.374933,1.418218,1.4899,-0.114967,-7.7164,0.015234
513090,20250410,1.3555,1.367733,1.429709,1.503443,-0.13571,-9.0266,-0.012233
513090,20250409,1.339,1.383667,1.451236,1.521343,-0.137676,-9.0496,-0.044667
513090,20250408,1.376667,1.426867,1.4848,1.544367,-0.1175,-7.6083,-0.0502
513090,20250407,1.466667,1.492533,1.528,1.571095,-0.078562,-5.0005,-0.025866
513090,20250403,1.546667,1.546867,1.562273,1.59209,-0.045223,-2.8405,-0.0002
