代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159869,20250627,1.216333,1.214067,1.207491,1.200838,0.013229,1.1016,0.002266,温和多头排列,0.3
159869,20250626,1.22,1.2112,1.206745,1.19821,0.01299,1.0841,0.0088,温和多头排列,0.3
159869,20250625,1.211333,1.203067,1.203855,1.193957,0.00911,0.763,0.008266,震荡排列,0.0
159869,20250624,1.195667,1.194333,1.200618,1.189267,0.005066,0.426,0.001334,震荡排列,0.0
159869,20250623,1.182167,1.188667,1.198182,1.18499,0.003677,0.3103,-0.0065,震荡排列,0.0
159869,20250620,1.1885,1.197733,1.201145,1.183219,0.014514,1.2267,-0.009233,震荡排列,0.0
159869,20250619,1.2035,1.209533,1.204727,1.181629,0.027904,2.3615,-0.006033,中等多头排列,0.6
159869,20250618,1.215667,1.215067,1.203818,1.177438,0.037629,3.1958,0.0006,强势多头排列,1.0
159869,20250617,1.220833,1.2166,1.200255,1.171867,0.044733,3.8172,0.004233,强势多头排列,1.0
159869,20250616,1.223167,1.213,1.194327,1.165071,0.047929,4.1138,0.010167,强势多头排列,1.0
159869,20250613,1.199333,1.1928,1.179709,1.154214,0.038586,3.3431,0.006533,强势多头排列,1.0
159869,20250612,1.198667,1.1888,1.173873,1.148029,0.040771,3.5514,0.009867,强势多头排列,1.0
159869,20250611,1.179333,1.1746,1.161982,1.139229,0.035371,3.1048,0.004733,强势多头排列,1.0
159869,20250610,1.165667,1.165,1.152582,1.132105,0.032895,2.9056,0.000667,强势多头排列,1.0
159869,20250609,1.165833,1.162533,1.147055,1.127176,0.035357,3.1368,0.0033,强势多头排列,1.0
159869,20250606,1.162167,1.155467,1.139691,1.12171,0.033757,3.0094,0.0067,强势多头排列,1.0
159869,20250605,1.159667,1.148733,1.132945,1.1168,0.031933,2.8593,0.010934,强势多头排列,1.0
159869,20250604,1.141333,1.133667,1.122764,1.110548,0.023119,2.0818,0.007666,中等多头排列,0.6
159869,20250603,1.128667,1.122467,1.115236,1.106067,0.0164,1.4827,0.0062,中等多头排列,0.6
159869,20250530,1.113,1.112333,1.107945,1.10211,0.010223,0.9276,0.000667,温和多头排列,0.3
159869,20250529,1.114333,1.112067,1.1062,1.101267,0.0108,0.9807,0.002266,温和多头排列,0.3
159869,20250528,1.106667,1.105733,1.1006,1.098662,0.007071,0.6436,0.000934,微弱多头排列,0.05
159869,20250527,1.108667,1.1068,1.099436,1.098152,0.008648,0.7875,0.001867,微弱多头排列,0.05
159869,20250526,1.1075,1.1044,1.096727,1.096633,0.007767,0.7083,0.0031,微弱多头排列,0.05
159869,20250523,1.096833,1.0958,1.091982,1.093967,0.001833,0.1676,0.001033,震荡排列,0.0
159869,20250522,1.103833,1.097,1.0932,1.094286,0.002714,0.248,0.006833,震荡排列,0.0
159869,20250521,1.091,1.086467,1.089564,1.091924,-0.005457,-0.4998,0.004533,温和空头排列,-0.3
159869,20250520,1.086167,1.084133,1.090236,1.091514,-0.007381,-0.6762,0.002034,微弱空头排列,-0.05
159869,20250519,1.074833,1.0806,1.090473,1.090395,-0.009795,-0.8983,-0.005767,震荡排列,0.0
159869,20250516,1.078833,1.086133,1.094836,1.091133,-0.005,-0.4582,-0.0073,震荡排列,0.0
159869,20250515,1.088833,1.093733,1.099727,1.09199,0.001743,0.1596,-0.0049,震荡排列,0.0
159869,20250514,1.105,1.1046,1.104836,1.092833,0.011767,1.0767,0.0004,震荡排列,0.0
159869,20250513,1.1035,1.105067,1.103327,1.09029,0.014777,1.3553,-0.001567,微弱多头排列,0.05
159869,20250512,1.104667,1.107133,1.101145,1.087514,0.019619,1.804,-0.002466,中等多头排列,0.6
159869,20250509,1.104667,1.107267,1.097891,1.084014,0.023253,2.1451,-0.0026,中等多头排列,0.6
159869,20250508,1.115333,1.1106,1.096436,1.081124,0.029476,2.7264,0.004733,强势多头排列,1.0
159869,20250507,1.111,1.1038,1.090509,1.075643,0.028157,2.6177,0.0072,强势多头排列,1.0
159869,20250506,1.106333,1.096467,1.085182,1.071005,0.025462,2.3774,0.009866,中等多头排列,0.6
159869,20250430,1.086667,1.080067,1.075945,1.065048,0.015019,1.4102,0.0066,中等多头排列,0.6
159869,20250429,1.076667,1.072667,1.071309,1.06209,0.010577,0.9959,0.004,微弱多头排列,0.05
159869,20250428,1.067333,1.068,1.068055,1.060281,0.007719,0.728,-0.000667,震荡排列,0.0
159869,20250425,1.0625,1.067067,1.0658,1.059543,0.007524,0.7101,-0.004567,微弱多头排列,0.05
159869,20250424,1.066833,1.070867,1.0656,1.060495,0.010372,0.978,-0.004034,温和多头排列,0.3
159869,20250423,1.078833,1.0754,1.065727,1.062205,0.013195,1.2422,0.003433,中等多头排列,0.6
159869,20250422,1.077667,1.0708,1.060891,1.062195,0.008605,0.8101,0.006867,震荡排列,0.0
159869,20250421,1.074167,1.066533,1.055127,1.062995,0.003538,0.3328,0.007634,震荡排列,0.0
159869,20250418,1.054667,1.053867,1.044855,1.062538,-0.008671,-0.8161,0.0008,震荡排列,0.0
159869,20250417,1.049167,1.049,1.041018,1.065486,-0.016486,-1.5473,0.000167,震荡排列,0.0
159869,20250416,1.051,1.047933,1.041145,1.070571,-0.022638,-2.1146,0.003067,震荡排列,0.0
159869,20250415,1.051833,1.045467,1.043036,1.076757,-0.03129,-2.9059,0.006366,震荡排列,0.0
159869,20250414,1.042167,1.0336,1.043745,1.082614,-0.049014,-4.5274,0.008567,强势空头排列,-1.0
159869,20250411,1.031167,1.022267,1.047727,1.090348,-0.068081,-6.244,0.0089,强势空头排列,-1.0
159869,20250410,1.019667,1.0224,1.056473,1.100462,-0.078062,-7.0936,-0.002733,强势空头排列,-1.0
159869,20250409,1.004,1.028267,1.066873,1.111433,-0.083166,-7.4828,-0.024267,强势空头排列,-1.0
159869,20250408,1.016833,1.048,1.083127,1.125281,-0.077281,-6.8677,-0.031167,强势空头排列,-1.0
159869,20250407,1.0695,1.0878,1.108491,1.1433,-0.0555,-4.8544,-0.0183,强势空头排列,-1.0
159869,20250403,1.1255,1.126067,1.1312,1.159533,-0.033466,-2.8862,-0.000567,强势空头排列,-1.0
159869,20250402,1.124667,1.127333,1.134655,1.165624,-0.038291,-3.285,-0.002666,强势空头排列,-1.0
159869,20250401,1.126167,1.129267,1.139764,1.172048,-0.042781,-3.6501,-0.0031,强势空头排列,-1.0
159869,20250331,1.131333,1.133133,1.147491,1.179086,-0.045953,-3.8973,-0.0018,强势空头排列,-1.0
159869,20250328,1.138,1.139333,1.157327,1.186371,-0.047038,-3.9649,-0.001333,强势空头排列,-1.0
159869,20250327,1.136167,1.142,1.166509,1.1923,-0.0503,-4.2187,-0.005833,强势空头排列,-1.0
159869,20250326,1.141,1.150067,1.177836,1.199114,-0.049047,-4.0903,-0.009067,强势空头排列,-1.0
159869,20250325,1.151,1.163533,1.190964,1.206405,-0.042872,-3.5537,-0.012533,强势空头排列,-1.0
159869,20250324,1.1705,1.183333,1.2054,1.214057,-0.030724,-2.5307,-0.012833,强势空头排列,-1.0
159869,20250321,1.185333,1.199867,1.215927,1.219676,-0.019809,-1.6241,-0.014534,中等空头排列,-0.6
159869,20250320,1.210333,1.221867,1.2272,1.225633,-0.003766,-0.3073,-0.011534,震荡排列,0.0
159869,20250319,1.229167,1.235,1.234091,1.229029,0.005971,0.4858,-0.005833,微弱多头排列,0.05
159869,20250318,1.245833,1.242667,1.236964,1.230814,0.011853,0.963,0.003166,温和多头排列,0.3
159869,20250317,1.248667,1.242467,1.235382,1.230786,0.011681,0.9491,0.0062,温和多头排列,0.3
159869,20250314,1.2425,1.235867,1.230455,1.229771,0.006096,0.4957,0.006633,微弱多头排列,0.05
159869,20250313,1.221833,1.222867,1.221364,1.22771,-0.004843,-0.3945,-0.001034,震荡排列,0.0
159869,20250312,1.227,1.229333,1.221873,1.230552,-0.001219,-0.0991,-0.002333,震荡排列,0.0
159869,20250311,1.222167,1.2262,1.218582,1.231386,-0.005186,-0.4212,-0.004033,震荡排列,0.0
159869,20250310,1.2315,1.2266,1.218455,1.23361,-0.00701,-0.5683,0.0049,震荡排列,0.0
159869,20250307,1.237,1.225467,1.219382,1.235648,-0.010181,-0.8239,0.011533,震荡排列,0.0
159869,20250306,1.225333,1.2138,1.217945,1.2354,-0.0216,-1.7484,0.011533,中等空头排列,-0.6
159869,20250305,1.194667,1.1952,1.213291,1.232771,-0.037571,-3.0477,-0.000533,强势空头排列,-1.0
159869,20250304,1.1905,1.199267,1.221055,1.235281,-0.036014,-2.9155,-0.008767,强势空头排列,-1.0
159869,20250303,1.196667,1.2074,1.230709,1.237281,-0.029881,-2.4151,-0.010733,强势空头排列,-1.0
159869,20250228,1.2075,1.2196,1.241582,1.23801,-0.01841,-1.4871,-0.0121,震荡排列,0.0
159869,20250227,1.2385,1.247,1.258982,1.239838,0.007162,0.5777,-0.0085,震荡排列,0.0
159869,20250226,1.241833,1.2532,1.264236,1.234043,0.019157,1.5524,-0.011367,震荡排列,0.0
159869,20250225,1.2585,1.264267,1.270527,1.227676,0.036591,2.9805,-0.005767,震荡排列,0.0
159869,20250224,1.281,1.277867,1.2766,1.220395,0.057472,4.7093,0.003133,微弱多头排列,0.05
159869,20250221,1.281833,1.278533,1.272909,1.207486,0.071047,5.8839,0.0033,强势多头排列,1.0
159869,20250220,1.265167,1.273933,1.262491,1.191043,0.08289,6.9594,-0.008766,强势多头排列,1.0
159869,20250219,1.275333,1.281333,1.256564,1.176971,0.104362,8.867,-0.006,强势多头排列,1.0
159869,20250218,1.283,1.279,1.243291,1.159543,0.119457,10.3021,0.004,强势多头排列,1.0
159869,20250217,1.300167,1.28,1.229636,1.142738,0.137262,12.0117,0.020167,强势多头排列,1.0
159869,20250214,1.282167,1.257133,1.202091,1.119652,0.137481,12.2789,0.025034,强势多头排列,1.0
159869,20250213,1.2315,1.214867,1.164582,1.092767,0.1221,11.1735,0.016633,强势多头排列,1.0
