代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列
513320,20250627,1.299333,1.2988,1.288055,1.292362,0.006438,0.4982,0.000533,弱势多头
513320,20250626,1.301667,1.294933,1.285418,1.2919,0.003033,0.2348,0.006734,弱势多头
513320,20250625,1.302667,1.289333,1.283964,1.291662,-0.002329,-0.1803,0.013334,弱势多头
513320,20250624,1.283,1.274667,1.279309,1.289305,-0.014638,-1.1353,0.008333,强势空头排列
513320,20250623,1.261667,1.2642,1.2776,1.288105,-0.023905,-1.8558,-0.002533,强势空头排列
513320,20250620,1.254,1.264067,1.281582,1.28949,-0.025423,-1.9716,-0.010067,强势空头排列
513320,20250619,1.2655,1.274267,1.290927,1.2934,-0.019133,-1.4793,-0.008767,强势空头排列
513320,20250618,1.2865,1.289867,1.301691,1.297833,-0.007966,-0.6138,-0.003367,弱势多头
513320,20250617,1.293667,1.299467,1.307273,1.299571,-0.000104,-0.008,-0.0058,弱势多头
513320,20250616,1.297667,1.306,1.309745,1.299852,0.006148,0.473,-0.008333,弱势多头
513320,20250613,1.305167,1.3124,1.310418,1.299519,0.012881,0.9912,-0.007233,强势多头排列
513320,20250612,1.325833,1.3248,1.313655,1.300562,0.024238,1.8637,0.001033,强势多头排列
513320,20250611,1.330833,1.325,1.309655,1.298314,0.026686,2.0554,0.005833,强势多头排列
513320,20250610,1.320833,1.315867,1.300945,1.293976,0.021891,1.6918,0.004966,强势多头排列
513320,20250609,1.316167,1.308733,1.294073,1.291,0.017733,1.3736,0.007434,强势多头排列
513320,20250606,1.303333,1.295467,1.285745,1.28729,0.008177,0.6352,0.007866,弱势多头
513320,20250605,1.296,1.288267,1.281327,1.285529,0.002738,0.213,0.007733,弱势多头
513320,20250604,1.2805,1.277733,1.276945,1.283514,-0.005781,-0.4504,0.002767,弱势多头
513320,20250603,1.270333,1.269933,1.275273,1.28271,-0.012777,-0.9961,0.0004,强势空头排列
513320,20250530,1.268833,1.268533,1.277691,1.283771,-0.015238,-1.187,0.0003,强势空头排列
513320,20250529,1.274833,1.2736,1.282836,1.285829,-0.012229,-0.9511,0.001233,强势空头排列
513320,20250528,1.264,1.270933,1.2834,1.285181,-0.014248,-1.1086,-0.006933,强势空头排列
513320,20250527,1.271667,1.2804,1.289364,1.286829,-0.006429,-0.4996,-0.008733,弱势多头
513320,20250526,1.2805,1.290067,1.294055,1.28751,0.002557,0.1986,-0.009567,弱势多头
513320,20250523,1.3015,1.303333,1.300291,1.28869,0.014643,1.1363,-0.001833,强势多头排列
513320,20250522,1.308,1.3048,1.299909,1.286176,0.018624,1.448,0.0032,强势多头排列
513320,20250521,1.310833,1.304867,1.298509,1.282819,0.022048,1.7187,0.005966,强势多头排列
513320,20250520,1.3,1.298267,1.293018,1.277067,0.0212,1.6601,0.001733,强势多头排列
513320,20250519,1.289167,1.291467,1.288164,1.271248,0.020219,1.5905,-0.0023,强势多头排列
513320,20250516,1.294333,1.293067,1.287073,1.267243,0.025824,2.0378,0.001266,强势多头排列
513320,20250515,1.296167,1.292533,1.284327,1.262557,0.029976,2.3742,0.003634,强势多头排列
513320,20250514,1.295,1.289333,1.279836,1.25709,0.032243,2.5649,0.005667,强势多头排列
513320,20250513,1.281,1.279133,1.271618,1.249714,0.029419,2.3541,0.001867,强势多头排列
513320,20250512,1.280667,1.279133,1.267709,1.244557,0.034576,2.7782,0.001534,强势多头排列
513320,20250509,1.273333,1.2732,1.261436,1.237748,0.035452,2.8642,0.000133,强势多头排列
513320,20250508,1.275833,1.269333,1.256582,1.231538,0.037795,3.0689,0.0065,强势多头排列
513320,20250507,1.272833,1.262733,1.249891,1.224686,0.038047,3.1067,0.0101,强势多头排列
513320,20250506,1.263,1.254467,1.2416,1.218,0.036467,2.994,0.008533,强势多头排列
513320,20250430,1.238,1.237467,1.228782,1.210119,0.027348,2.2599,0.000533,强势多头排列
513320,20250429,1.234333,1.235067,1.2224,1.206724,0.028343,2.3488,-0.000734,强势多头排列
513320,20250428,1.237667,1.2358,1.218345,1.205143,0.030657,2.5438,0.001867,强势多头排列
513320,20250425,1.238167,1.229867,1.212145,1.203171,0.026696,2.2188,0.0083,强势多头排列
513320,20250424,1.229167,1.217733,1.204018,1.201257,0.016476,1.3716,0.011434,强势多头排列
513320,20250423,1.2215,1.208067,1.197873,1.201505,0.006562,0.5461,0.013433,弱势多头
513320,20250422,1.190667,1.185733,1.185418,1.200043,-0.01431,-1.1925,0.004934,弱势多头
513320,20250421,1.1795,1.179467,1.179655,1.203829,-0.024362,-2.0237,3.3e-05,强势空头排列
513320,20250418,1.174833,1.181,1.176727,1.210171,-0.029171,-2.4105,-0.006167,弱势多头
513320,20250417,1.1795,1.186,1.177309,1.218376,-0.032376,-2.6573,-0.0065,弱势多头
513320,20250416,1.188,1.189133,1.179855,1.227548,-0.038415,-3.1294,-0.001133,弱势多头
513320,20250415,1.204667,1.192467,1.187091,1.238981,-0.046514,-3.7542,0.0122,弱势多头
513320,20250414,1.194833,1.1756,1.189109,1.247629,-0.072029,-5.7733,0.019233,强势空头排列
513320,20250411,1.168667,1.154333,1.192873,1.25691,-0.102577,-8.161,0.014334,强势空头排列
513320,20250410,1.139333,1.147467,1.203873,1.269162,-0.121695,-9.5886,-0.008134,强势空头排列
513320,20250409,1.12,1.158,1.222055,1.284486,-0.126486,-9.8472,-0.038,强势空头排列
513320,20250408,1.1505,1.196867,1.252018,1.305229,-0.108362,-8.3021,-0.046367,强势空头排列
513320,20250407,1.228167,1.257133,1.290782,1.32941,-0.072277,-5.4368,-0.028966,强势空头排列
513320,20250403,1.303667,1.3092,1.322291,1.349086,-0.039886,-2.9565,-0.005533,强势空头排列
513320,20250402,1.318333,1.322733,1.332491,1.357095,-0.034362,-2.532,-0.0044,强势空头排列
513320,20250401,1.322333,1.328533,1.339873,1.362681,-0.034148,-2.5059,-0.0062,强势空头排列
513320,20250331,1.326167,1.3312,1.347564,1.367338,-0.036138,-2.6429,-0.005033,强势空头排列
513320,20250328,1.343,1.342733,1.359836,1.373648,-0.030915,-2.2506,0.000267,强势空头排列
513320,20250327,1.345667,1.3472,1.3686,1.37749,-0.03029,-2.1989,-0.001533,强势空头排列
