日期,ETF代码,EMA快线,EMA慢线,DIF,DEA,MACD柱,DIF高于DEA,DIF高于零轴,DEA高于零轴,DIF_DEA差值,DIF强度,MACD强度,计算时间
2023-12-01,513730,0.979,0.979,0.0,0.0,0.0,否,否,否,0.0,0.0,0.0,2025-06-29 16:58:10
2023-12-04,513730,0.980846,0.979889,0.000957,0.000191,0.001532,是,是,是,0.000766,0.000957,0.001532,2025-06-29 16:58:10
2023-12-05,513730,0.981639,0.980342,0.001297,0.000413,0.00177,是,是,是,0.000884,0.001297,0.00177,2025-06-29 16:58:10
2023-12-06,513730,0.984002,0.981576,0.002427,0.000815,0.003223,是,是,是,0.001612,0.002427,0.003223,2025-06-29 16:58:10
2023-12-07,513730,0.98554,0.982496,0.003045,0.001261,0.003566,是,是,是,0.001784,0.003045,0.003566,2025-06-29 16:58:10
2023-12-08,513730,0.987765,0.983792,0.003972,0.001804,0.004338,是,是,是,0.002168,0.003972,0.004338,2025-06-29 16:58:10
2023-12-11,513730,0.989647,0.984993,0.004654,0.002374,0.004561,是,是,是,0.00228,0.004654,0.004561,2025-06-29 16:58:10
2023-12-12,513730,0.990778,0.985882,0.004896,0.002878,0.004036,是,是,是,0.002018,0.004896,0.004036,2025-06-29 16:58:10
2023-12-13,513730,0.991274,0.986484,0.00479,0.003261,0.00306,是,是,是,0.001529,0.00479,0.00306,2025-06-29 16:58:10
2023-12-14,513730,0.993386,0.987855,0.00553,0.003715,0.003632,是,是,是,0.001815,0.00553,0.003632,2025-06-29 16:58:10
2023-12-15,513730,0.996403,0.989718,0.006685,0.004309,0.004753,是,是,是,0.002376,0.006685,0.004753,2025-06-29 16:58:10
2023-12-18,513730,1.000034,0.991961,0.008073,0.005062,0.006022,是,是,是,0.003011,0.008073,0.006022,2025-06-29 16:58:10
2023-12-19,513730,1.004182,0.994556,0.009626,0.005974,0.007303,是,是,是,0.003652,0.009626,0.007303,2025-06-29 16:58:10
2023-12-20,513730,1.009077,0.997626,0.011451,0.00707,0.008763,是,是,是,0.004381,0.011451,0.008763,2025-06-29 16:58:10
2023-12-21,513730,1.011065,0.999432,0.011634,0.007982,0.007302,是,是,是,0.003652,0.011634,0.007302,2025-06-29 16:58:10
2023-12-22,513730,1.015363,1.002363,0.013,0.008986,0.008028,是,是,是,0.004014,0.013,0.008028,2025-06-29 16:58:10
2023-12-25,513730,1.022846,1.006929,0.015917,0.010372,0.01109,是,是,是,0.005545,0.015917,0.01109,2025-06-29 16:58:10
2023-12-26,513730,1.035485,1.014193,0.021292,0.012556,0.017471,是,是,是,0.008736,0.021292,0.017471,2025-06-29 16:58:10
2023-12-27,513730,1.041103,1.018475,0.022627,0.01457,0.016114,是,是,是,0.008057,0.022627,0.016114,2025-06-29 16:58:10
2023-12-28,513730,1.043702,1.021403,0.022299,0.016116,0.012366,是,是,是,0.006183,0.022299,0.012366,2025-06-29 16:58:10
2023-12-29,513730,1.044825,1.023595,0.02123,0.017139,0.008182,是,是,是,0.004091,0.02123,0.008182,2025-06-29 16:58:10
2024-01-02,513730,1.047775,1.026588,0.021187,0.017948,0.006477,是,是,是,0.003239,0.021187,0.006477,2025-06-29 16:58:10
2024-01-03,513730,1.047656,1.0281,0.019556,0.01827,0.002571,是,是,是,0.001286,0.019556,0.002571,2025-06-29 16:58:10
2024-01-04,513730,1.046939,1.029204,0.017736,0.018163,-0.000855,否,是,是,-0.000427,0.017736,0.000855,2025-06-29 16:58:10
2024-01-05,513730,1.044487,1.029337,0.01515,0.01756,-0.00482,否,是,是,-0.00241,0.01515,0.00482,2025-06-29 16:58:10
2024-01-08,513730,1.042258,1.029386,0.012872,0.016623,-0.007501,否,是,是,-0.003751,0.012872,0.007501,2025-06-29 16:58:10
2024-01-09,513730,1.042834,1.030617,0.012217,0.015742,-0.007049,否,是,是,-0.003525,0.012217,0.007049,2025-06-29 16:58:10
2024-01-10,513730,1.040706,1.030497,0.010209,0.014635,-0.008853,否,是,是,-0.004426,0.010209,0.008853,2025-06-29 16:58:10
2024-01-11,513730,1.039828,1.03083,0.008997,0.013508,-0.00902,否,是,是,-0.004511,0.008997,0.00902,2025-06-29 16:58:10
2024-01-12,513730,1.038162,1.030695,0.007467,0.0123,-0.009665,否,是,是,-0.004833,0.007467,0.009665,2025-06-29 16:58:10
2024-01-15,513730,1.040599,1.032421,0.008177,0.011475,-0.006595,否,是,是,-0.003298,0.008177,0.006595,2025-06-29 16:58:10
2024-01-16,513730,1.041891,1.033649,0.008242,0.010828,-0.005173,否,是,是,-0.002586,0.008242,0.005173,2025-06-29 16:58:10
2024-01-17,513730,1.040523,1.033601,0.006922,0.010047,-0.00625,否,是,是,-0.003125,0.006922,0.00625,2025-06-29 16:58:10
2024-01-18,513730,1.035827,1.031853,0.003974,0.008833,-0.009716,否,是,是,-0.004859,0.003974,0.009716,2025-06-29 16:58:10
2024-01-19,513730,1.0337,1.031123,0.002577,0.007582,-0.010009,否,是,是,-0.005005,0.002577,0.010009,2025-06-29 16:58:10
2024-01-22,513730,1.032208,1.030595,0.001612,0.006388,-0.009551,否,是,是,-0.004776,0.001612,0.009551,2025-06-29 16:58:10
2024-01-23,513730,1.030791,1.030033,0.000758,0.005262,-0.009007,否,是,是,-0.004504,0.000758,0.009007,2025-06-29 16:58:10
2024-01-24,513730,1.028054,1.028771,-0.000717,0.004066,-0.009566,否,否,是,-0.004783,0.000717,0.009566,2025-06-29 16:58:10
2024-01-25,513730,1.025892,1.027677,-0.001785,0.002896,-0.009362,否,否,是,-0.004681,0.001785,0.009362,2025-06-29 16:58:10
2024-01-26,513730,1.022832,1.026071,-0.00324,0.001669,-0.009817,否,否,是,-0.004909,0.00324,0.009817,2025-06-29 16:58:10
2024-01-29,513730,1.020396,1.024659,-0.004263,0.000482,-0.00949,否,否,是,-0.004745,0.004263,0.00949,2025-06-29 16:58:10
2024-01-30,513730,1.020797,1.024536,-0.003739,-0.000362,-0.006755,否,否,否,-0.003377,0.003739,0.006755,2025-06-29 16:58:10
2024-01-31,513730,1.017443,1.022644,-0.005201,-0.00133,-0.007743,否,否,否,-0.003871,0.005201,0.007743,2025-06-29 16:58:10
