日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20151216,159001.SZ,易方达保证金货币A,100.0,100.001,99.999,100.0,100.0,0.0,0.0,10533.0,105329.8926,1.0
20151216,159003.SZ,招商保证金快线A,100.0,100.001,99.999,100.0,100.0,0.0,0.0,31420.0,314199.8733,1.0
20151216,159005.SZ,汇添富收益快钱货币A,100.0,100.001,99.999,100.0,100.001,-0.001,-0.001,1409.0,14089.9682,1.0
20151216,159901.SZ,易方达深证100ETF,4.571,4.595,4.54,4.555,4.557,-0.002,-0.0439,69791.07,31921.7818,1.031
20151216,159902.SZ,华夏中小企业100ETF,3.9,3.933,3.892,3.9,3.881,0.019,0.4896,193889.25,75894.44,1.048
20151216,159903.SZ,南方深证成份ETF,1.304,1.317,1.303,1.314,1.303,0.011,0.8442,33303.37,4363.5499,1.0
20151216,159905.SZ,深红利ETF,1.181,1.182,1.175,1.175,1.185,-0.01,-0.8439,1185.0,139.3993,1.0
20151216,159906.SZ,大成深证成长40ETF,1.077,1.101,1.077,1.101,1.077,0.024,2.2284,21.0,2.2801,1.0
20151216,159907.SZ,广发国证2000ETF,1.71,1.727,1.701,1.708,1.69,0.018,1.0651,11032.0,1892.2942,1.0
20151216,159908.SZ,博时创业板ETF,1.204,1.209,1.201,1.209,1.197,0.012,1.0025,625.97,75.4653,1.0
20151216,159909.SZ,深证TMT50ETF,6.094,6.15,6.094,6.119,6.021,0.098,1.6276,46.0,28.0855,1.0
20151216,159910.SZ,嘉实深证基本面120ETF,1.33,1.335,1.33,1.334,1.333,0.001,0.075,165.05,21.9679,1.0
20151216,159912.SZ,汇添富深证300ETF,1.507,1.536,1.501,1.504,1.503,0.001,0.0665,16878.4,2589.7019,1.0
20151216,159913.SZ,交银深证300价值ETF,1.471,1.471,1.453,1.458,1.456,0.002,0.1374,20.0,2.915,1.0
20151216,159915.SZ,易方达创业板ETF,2.588,2.625,2.576,2.593,2.577,0.016,0.6209,2537198.44,658898.3372,1.0
20151216,159918.SZ,嘉实中创400ETF,2.346,2.452,2.346,2.448,2.392,0.056,2.3411,641.01,156.3198,1.0
20151216,159919.SZ,嘉实沪深300ETF,3.878,3.913,3.864,3.88,3.872,0.008,0.2066,83762.86,32564.8585,0.382
20151216,159920.SZ,华夏恒生ETF,1.085,1.102,1.085,1.096,1.076,0.02,1.8587,217120.0,23802.6475,1.0
20151216,159922.SZ,嘉实中证500ETF,7.254,7.35,7.254,7.34,7.288,0.052,0.7135,1232.63,902.4804,1.0
20151216,159923.SZ,大成中证A100ETF,1.312,1.33,1.312,1.323,1.312,0.011,0.8384,1139.0,150.8435,1.0
20151216,159925.SZ,南方沪深300ETF,1.449,1.453,1.442,1.442,1.442,0.0,0.0,4063.85,588.3167,1.0
20151216,159928.SZ,汇添富中证主要消费ETF,1.389,1.389,1.362,1.371,1.379,-0.008,-0.5801,81.0,11.1536,1.0
20151216,159929.SZ,汇添富中证医药卫生ETF,1.557,1.557,1.54,1.552,1.553,-0.001,-0.0644,6677.0,1034.592,1.0
20151216,159930.SZ,汇添富中证能源ETF,0.944,0.944,0.921,0.932,0.932,0.0,0.0,1072.05,100.2137,1.0
20151216,159931.SZ,汇添富中证金融地产ETF,1.59,1.59,1.571,1.587,1.581,0.006,0.3795,1650.0,261.2671,1.0
20151216,159933.SZ,国投瑞银金融地产ETF,1.63,1.639,1.619,1.637,1.631,0.006,0.3679,830.0,134.9295,1.0
20151216,159934.SZ,易方达黄金ETF,2.21,2.222,2.21,2.218,2.218,0.0,0.0,5922.9,1314.2545,1.0
20151216,159935.SZ,景顺长城中证500ETF,1.909,1.915,1.909,1.915,1.899,0.016,0.8425,51.0,9.7659,1.0
20151216,159936.SZ,广发中证全指可选消费ETF,1.706,1.754,1.706,1.736,1.733,0.003,0.1731,486.0,84.3971,1.0
20151216,159937.SZ,博时黄金ETF,2.23,2.23,2.21,2.217,2.216,0.001,0.0451,454.0,100.7643,1.0
20151216,159938.SZ,广发中证全指医药卫生ETF,1.416,1.427,1.415,1.416,1.416,0.0,0.0,6489.0,921.678,1.0
20151216,159939.SZ,广发中证全指信息技术ETF,1.422,1.44,1.422,1.428,1.415,0.013,0.9187,47990.08,6858.953,1.0
20151216,159940.SZ,广发中证全指金融地产ETF,0.841,0.848,0.821,0.838,0.839,-0.001,-0.1192,885.0,73.1337,1.0
20151216,159941.SZ,广发纳指100ETF,1.003,1.003,0.993,0.994,0.985,0.009,0.9137,729.95,72.5781,1.0
20151216,159943.SZ,深证ETF,13.0,13.0,12.71,12.805,12.736,0.069,0.5418,2136.72,2746.0734,1.0
20151216,159944.SZ,广发中证全指原材料ETF,0.879,0.899,0.878,0.895,0.89,0.005,0.5618,1723.46,152.4924,1.0
20151216,159945.SZ,广发中证全指能源ETF,0.686,0.698,0.686,0.696,0.686,0.01,1.4577,4283.08,296.9559,1.0
20151216,510010.SH,交银上证180公司治理ETF,1.024,1.024,1.014,1.014,1.017,-0.003,-0.295,405.04,41.255,1.0
20151216,510020.SH,博时上证超大盘ETF,2.205,2.23,2.205,2.23,2.251,-0.021,-0.9329,198.3,44.162,0.101
20151216,510030.SH,上证180价值ETF,3.994,4.0,3.994,4.0,3.981,0.019,0.4773,635.0,253.681,1.0
20151216,510050.SH,华夏上证50ETF,2.386,2.394,2.366,2.372,2.382,-0.01,-0.4198,2422531.09,577047.111,1.209
20151216,510060.SH,工银上证央企ETF,1.709,1.716,1.7,1.702,1.707,-0.005,-0.2929,3091.0,527.796,1.0
20151216,510090.SH,建信上证社会责任ETF,1.267,1.307,1.267,1.283,1.296,-0.013,-1.0031,108.0,13.765,1.0
20151216,510130.SH,易方达上证中盘ETF,4.006,4.035,4.004,4.019,4.013,0.006,0.1495,128.39,51.535,1.0
20151216,510150.SH,招商上证消费80ETF,4.25,4.25,4.009,4.184,4.1,0.084,2.0488,135.0,56.32,1.0
20151216,510160.SH,南方小康ETF,0.535,0.538,0.533,0.534,0.535,-0.001,-0.1869,12864.07,688.472,1.0
20151216,510170.SH,国联安上证商品ETF,1.84,1.845,1.83,1.845,1.825,0.02,1.0959,105.1,19.307,1.0
20151216,510180.SH,华安上证180ETF,3.164,3.186,3.155,3.16,3.162,-0.002,-0.0633,36849.63,11687.215,2.81
20151216,510190.SH,华安上证50ETF,3.463,3.538,3.461,3.53,3.528,0.002,0.0567,188.94,66.256,1.0
20151216,510210.SH,上证综指ETF,3.712,3.75,3.711,3.717,3.715,0.002,0.0538,247.0,92.274,1.0
20151216,510230.SH,国泰上证180金融ETF,5.36,5.399,5.329,5.334,5.349,-0.015,-0.2804,5133.0,2747.235,1.0
20151216,510270.SH,国企ETF,1.029,1.064,1.029,1.042,1.048,-0.006,-0.5725,317.0,33.06,1.0
20151216,510290.SH,南方上证380ETF,1.808,1.813,1.799,1.8,1.801,-0.001,-0.0555,2590.0,467.929,1.0
20151216,510300.SH,华泰柏瑞沪深300ETF,3.751,3.768,3.731,3.738,3.737,0.001,0.0268,971984.42,364722.086,1.048
20151216,510310.SH,易方达沪深300ETF发起式,1.497,1.508,1.497,1.498,1.497,0.001,0.0668,5864.0,881.08,1.0
20151216,510330.SH,华夏沪深300ETF,3.844,3.844,3.786,3.786,3.816,-0.03,-0.7862,6166.0,2336.955,1.034
20151216,510360.SH,广发沪深300ETF,1.062,1.093,1.062,1.08,1.078,0.002,0.1855,2244.0,244.294,1.0
20151216,510410.SH,博时上证自然资源ETF,0.695,0.712,0.695,0.71,0.698,0.012,1.7192,6263.4,442.876,1.0
20151216,510500.SH,南方中证500ETF,7.714,7.805,7.71,7.74,7.678,0.062,0.8075,134774.22,104675.848,0.28
20151216,510510.SH,广发中证500ETF,2.03,2.056,2.03,2.037,2.03,0.007,0.3448,37539.0,7686.98,1.0
20151216,510560.SH,国寿安保中证500ETF,1.495,1.501,1.495,1.501,1.495,0.006,0.4013,13.89,2.079,1.0
20151216,510580.SH,易方达中证500ETF,7.49,7.6,7.49,7.598,7.47,0.128,1.7135,352.76,266.507,1.0
20151216,510630.SH,华夏消费ETF,1.525,1.527,1.52,1.52,1.526,-0.006,-0.3932,411.0,62.653,1.0
20151216,510650.SH,华夏金融ETF,1.52,1.528,1.515,1.516,1.52,-0.004,-0.2632,716.0,108.741,1.0
20151216,510660.SH,华夏医药ETF,1.625,1.63,1.618,1.62,1.625,-0.005,-0.3077,2587.0,419.398,1.0
20151216,510710.SH,博时上证50ETF,2.34,2.361,2.336,2.342,2.343,-0.001,-0.0427,1347.12,316.604,1.0
20151216,510880.SH,华泰柏瑞上证红利ETF,2.79,2.805,2.78,2.78,2.788,-0.008,-0.2869,5284.64,1476.523,1.163
20151216,510900.SH,易方达恒生国企(QDII-ETF),0.975,0.986,0.975,0.981,0.964,0.017,1.7635,2542275.0,249405.067,1.0
20151216,511010.SH,国泰上证5年期国债ETF,108.689,108.792,108.621,108.785,108.704,0.081,0.0745,21863.04,237619.064,1.012
20151216,511220.SH,海富通上证城投债ETF,99.39,99.39,98.8,99.1,98.726,0.374,0.3788,428.1,4242.521,1.064
20151216,511800.SH,易方达货币E,99.995,99.996,99.993,99.996,99.996,0.0,0.0,223552.36,2235404.915,1.0
20151216,511810.SH,南方理财金货币ETF,99.994,100.0,99.994,99.999,99.997,0.002,0.002,65842.26,658402.214,1.0
20151216,511830.SH,华泰货币,99.999,100.01,99.992,100.0,100.001,-0.001,-0.001,6224.86,62248.807,1.0
20151216,511860.SH,博时保证金货币ETF,99.995,99.995,99.993,99.995,99.995,0.0,0.0,59528.81,595253.634,1.0
20151216,511900.SH,富国收益宝交易型货币H,99.999,100.0,99.995,99.998,100.0,-0.002,-0.002,158763.5,1587604.504,1.0
20151216,511930.SH,国联日盈A,99.99,99.999,99.99,99.995,99.995,0.0,0.0,18857.0,188561.316,1.0
