日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20111125,159901.SZ,易方达深证100ETF,0.643,0.648,0.638,0.639,0.645,-0.006,-0.9302,4429965.75,284334.7214,5.154
20111125,159902.SZ,华夏中小企业100ETF,2.355,2.377,2.337,2.339,2.355,-0.016,-0.6794,458340.61,107639.1336,1.039
20111125,159903.SZ,南方深证成份ETF,1.01,1.017,1.004,1.005,1.013,-0.008,-0.7897,99317.22,10025.753,1.0
20111125,159905.SZ,深红利ETF,0.776,0.776,0.768,0.769,0.778,-0.009,-1.1568,22868.7,1764.5026,1.0
20111125,159906.SZ,大成深证成长40ETF,0.809,0.812,0.805,0.805,0.795,0.01,1.2579,2220.0,179.5914,1.0
20111125,159907.SZ,广发国证2000ETF,0.946,0.952,0.939,0.939,0.942,-0.003,-0.3185,35213.5,3331.5779,1.0
20111125,159908.SZ,博时创业板ETF,0.801,0.82,0.801,0.804,0.808,-0.004,-0.495,1251.64,100.6557,1.0
20111125,159909.SZ,深证TMT50ETF,2.736,2.757,2.712,2.734,2.712,0.022,0.8112,320.89,87.7836,1.0
20111125,159910.SZ,嘉实深证基本面120ETF,0.904,0.91,0.9,0.9,0.904,-0.004,-0.4425,7914.33,716.0928,1.0
20111125,159912.SZ,汇添富深证300ETF,0.96,0.975,0.955,0.962,0.966,-0.004,-0.4141,174251.9,16800.5922,1.0
20111125,159913.SZ,交银深证300价值ETF,1.005,1.005,0.996,0.996,1.006,-0.01,-0.994,519.03,51.8475,1.0
20111125,159916.SZ,建信深证基本面60ETF,1.779,1.779,1.741,1.741,1.77,-0.029,-1.6384,647.41,113.7477,1.0
20111125,510010.SH,交银上证180公司治理ETF,0.646,0.646,0.63,0.635,0.638,-0.003,-0.4702,125472.5,7939.875,1.0
20111125,510020.SH,博时上证超大盘ETF,0.177,0.178,0.176,0.177,0.178,-0.001,-0.5618,93893.42,1661.228,1.0
20111125,510030.SH,上证180价值ETF,2.249,2.249,2.227,2.231,2.251,-0.02,-0.8885,960.23,214.143,1.0
20111125,510050.SH,华夏上证50ETF,1.716,1.722,1.699,1.704,1.718,-0.014,-0.8149,3034898.62,518498.242,1.109
20111125,510060.SH,工银上证央企ETF,1.127,1.129,1.118,1.12,1.128,-0.008,-0.7092,21871.37,2457.873,1.0
20111125,510090.SH,建信上证社会责任ETF,0.811,0.811,0.803,0.804,0.81,-0.006,-0.7407,170.0,13.714,1.0
20111125,510130.SH,易方达上证中盘ETF,2.509,2.529,2.49,2.491,2.509,-0.018,-0.7174,5216.55,1304.596,1.0
20111125,510150.SH,招商上证消费80ETF,2.611,2.63,2.611,2.62,2.63,-0.01,-0.3802,201.59,52.754,1.0
20111125,510160.SH,南方小康ETF,0.356,0.358,0.353,0.355,0.357,-0.002,-0.5602,12414.01,442.294,1.0
20111125,510170.SH,国联安上证商品ETF,2.484,2.512,2.46,2.468,2.484,-0.016,-0.6441,118790.2,29541.177,1.0
20111125,510180.SH,华安上证180ETF,0.547,0.55,0.542,0.543,0.549,-0.006,-1.0929,3084753.8,168356.63,10.378
20111125,510190.SH,华安上证50ETF,2.12,2.126,2.105,2.112,2.12,-0.008,-0.3774,35454.0,7485.1,1.0
20111125,510210.SH,上证综指ETF,2.4,2.408,2.39,2.394,2.41,-0.016,-0.6639,1223.0,292.796,1.0
20111125,510230.SH,国泰上证180金融ETF,2.853,2.856,2.826,2.837,2.868,-0.031,-1.0809,7538.6,2138.345,1.0
20111125,510270.SH,国企ETF,0.737,0.738,0.731,0.733,0.738,-0.005,-0.6775,13171.88,968.559,1.0
20111125,510290.SH,南方上证380ETF,0.951,0.96,0.946,0.95,0.959,-0.009,-0.9385,31302.0,2994.871,1.0
20111125,510880.SH,华泰柏瑞上证红利ETF,1.9,1.908,1.88,1.891,1.896,-0.005,-0.2637,182823.22,34557.169,1.06
