日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20100226,159901.SZ,易方达深证100ETF,3.951,3.973,3.944,3.95,3.964,-0.014,-0.3532,900681.39,356514.7072,1.03
20100226,159902.SZ,华夏中小企业100ETF,2.634,2.65,2.62,2.632,2.635,-0.003,-0.1139,380574.07,100432.3185,1.039
20100226,159903.SZ,南方深证成份ETF,1.246,1.253,1.241,1.244,1.249,-0.005,-0.4003,253974.46,31688.7059,1.0
20100226,510010.SH,交银上证180公司治理ETF,0.833,0.835,0.828,0.828,0.833,-0.005,-0.6002,37701.26,3134.677,1.0
20100226,510050.SH,华夏上证50ETF,2.279,2.293,2.276,2.28,2.287,-0.007,-0.3061,3368786.7,769444.498,1.095
20100226,510060.SH,工银上证央企ETF,1.552,1.556,1.541,1.543,1.556,-0.013,-0.8355,529262.25,82064.009,1.0
20100226,510180.SH,华安上证180ETF,0.703,0.706,0.7,0.702,0.704,-0.002,-0.2841,2675648.09,188210.453,10.378
20100226,510880.SH,华泰柏瑞上证红利ETF,2.541,2.561,2.532,2.536,2.555,-0.019,-0.7436,258208.46,65782.158,1.021
