日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20150731,159001.SZ,易方达保证金货币A,99.997,100.002,99.994,100.002,100.001,0.001,0.001,157773.32,1577723.0781,1.0
20150731,159003.SZ,招商保证金快线A,99.995,100.001,99.994,100.0,100.001,-0.001,-0.001,41788.15,417871.8778,1.0
20150731,159005.SZ,汇添富收益快钱货币A,99.999,100.001,99.999,100.001,100.001,0.0,0.0,4516.2,45161.8752,1.0
20150731,159901.SZ,易方达深证100ETF,4.5,4.625,4.48,4.559,4.527,0.032,0.7069,3984563.83,1814723.8778,1.031
20150731,159902.SZ,华夏中小企业100ETF,3.755,3.912,3.752,3.844,3.81,0.034,0.8924,1392824.65,534341.3633,1.048
20150731,159903.SZ,南方深证成份ETF,1.252,1.289,1.248,1.269,1.278,-0.009,-0.7042,53465.61,6775.0484,1.0
20150731,159905.SZ,深红利ETF,1.11,1.163,1.076,1.159,1.147,0.012,1.0462,291466.0,33412.6962,1.0
20150731,159906.SZ,大成深证成长40ETF,1.116,1.152,1.116,1.151,1.144,0.007,0.6119,376.0,42.3282,1.0
20150731,159907.SZ,广发国证2000ETF,1.577,1.651,1.577,1.635,1.644,-0.009,-0.5474,3489.42,570.2135,1.0
20150731,159908.SZ,博时创业板ETF,1.236,1.338,1.236,1.3,1.287,0.013,1.0101,367.0,46.1096,1.0
20150731,159909.SZ,深证TMT50ETF,6.361,6.365,6.102,6.326,6.366,-0.04,-0.6283,84.65,53.151,1.0
20150731,159910.SZ,嘉实深证基本面120ETF,1.479,1.479,1.346,1.375,1.479,-0.104,-7.0318,618.0,86.0024,1.0
20150731,159912.SZ,汇添富深证300ETF,1.535,1.54,1.466,1.5,1.547,-0.047,-3.0381,7437.0,1123.0849,1.0
20150731,159913.SZ,交银深证300价值ETF,1.44,1.49,1.44,1.49,1.515,-0.025,-1.6502,269.0,39.0574,1.0
20150731,159915.SZ,易方达创业板ETF,2.36,2.47,2.309,2.368,2.4,-0.032,-1.3333,5169819.08,1236482.6544,1.0
20150731,159916.SZ,建信深证基本面60ETF,2.526,2.526,2.335,2.488,2.526,-0.038,-1.5044,486.0,115.3322,1.0
20150731,159918.SZ,嘉实中创400ETF,2.253,2.298,2.215,2.227,2.32,-0.093,-4.0086,1120.0,252.195,1.0
20150731,159919.SZ,嘉实沪深300ETF,3.938,4.047,3.92,3.951,3.941,0.01,0.2537,608200.03,241318.3829,0.382
20150731,159920.SZ,华夏恒生ETF,1.163,1.174,1.158,1.165,1.163,0.002,0.172,47851.31,5581.3938,1.0
20150731,159922.SZ,嘉实中证500ETF,7.497,7.586,7.3,7.33,7.468,-0.138,-1.8479,9975.36,7372.541,1.0
20150731,159923.SZ,大成中证A100ETF,1.355,1.381,1.355,1.369,1.367,0.002,0.1463,17493.0,2392.7694,1.0
20150731,159925.SZ,南方沪深300ETF,1.49,1.494,1.44,1.467,1.5,-0.033,-2.2,18137.01,2670.6202,1.0
20150731,159928.SZ,汇添富中证主要消费ETF,1.464,1.464,1.43,1.436,1.472,-0.036,-2.4457,38576.03,5582.906,1.0
20150731,159929.SZ,汇添富中证医药卫生ETF,1.53,1.577,1.48,1.568,1.553,0.015,0.9659,23594.0,3680.4,1.0
20150731,159930.SZ,汇添富中证能源ETF,1.103,1.129,1.095,1.101,1.13,-0.029,-2.5664,1294.0,143.8598,1.0
20150731,159931.SZ,汇添富中证金融地产ETF,1.55,1.55,1.481,1.502,1.531,-0.029,-1.8942,14496.69,2200.1545,1.0
20150731,159933.SZ,国投瑞银金融地产ETF,1.515,1.607,1.515,1.539,1.56,-0.021,-1.3462,880.0,136.4674,1.0
20150731,159934.SZ,易方达黄金ETF,2.172,2.185,2.156,2.157,2.171,-0.014,-0.6449,7036.0,1521.0926,1.0
20150731,159935.SZ,景顺长城中证500ETF,1.978,1.978,1.907,1.91,1.94,-0.03,-1.5464,999.0,193.9326,1.0
20150731,159936.SZ,广发中证全指可选消费ETF,1.67,1.8,1.67,1.8,1.8,0.0,0.0,406.0,70.5047,1.0
20150731,159937.SZ,博时黄金ETF,2.173,2.182,2.131,2.143,2.176,-0.033,-1.5165,178.0,38.4992,1.0
20150731,159938.SZ,广发中证全指医药卫生ETF,1.388,1.4,1.35,1.375,1.388,-0.013,-0.9366,21060.19,2899.7069,1.0
20150731,159939.SZ,广发中证全指信息技术ETF,1.288,1.347,1.26,1.281,1.311,-0.03,-2.2883,188129.13,24427.8336,1.0
20150731,159940.SZ,广发中证全指金融地产ETF,0.817,0.835,0.804,0.804,0.83,-0.026,-3.1325,4484.06,363.2004,1.0
