日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20150303,159001.SZ,易方达保证金货币A,99.999,100.003,99.997,100.003,100.0,0.003,0.003,27330.77,273306.5936,1.0
20150303,159003.SZ,招商保证金快线A,100.0,100.002,99.998,100.002,100.0,0.002,0.002,42203.14,422031.005,1.0
20150303,159005.SZ,汇添富收益快钱货币A,100.0,100.002,99.999,100.002,100.002,0.0,0.0,5121.81,51218.2263,1.0
20150303,159901.SZ,易方达深证100ETF,4.158,4.158,4.064,4.068,4.173,-0.105,-2.5162,2177342.56,896864.3648,1.031
20150303,159902.SZ,华夏中小企业100ETF,3.121,3.142,3.083,3.089,3.135,-0.046,-1.4673,792398.86,247006.5789,1.048
20150303,159903.SZ,南方深证成份ETF,1.24,1.244,1.208,1.212,1.248,-0.036,-2.8846,404313.38,49644.6711,1.0
20150303,159905.SZ,深红利ETF,1.102,1.105,1.079,1.079,1.11,-0.031,-2.7928,68308.06,7485.8515,1.0
20150303,159906.SZ,大成深证成长40ETF,0.952,0.952,0.934,0.935,0.953,-0.018,-1.8888,9450.8,896.8496,1.0
20150303,159907.SZ,广发国证2000ETF,1.347,1.363,1.333,1.337,1.35,-0.013,-0.963,48217.8,6475.4411,1.0
20150303,159908.SZ,博时创业板ETF,1.079,1.084,1.062,1.063,1.085,-0.022,-2.0276,11402.41,1230.4826,1.0
20150303,159909.SZ,深证TMT50ETF,4.934,5.268,4.934,5.25,5.269,-0.019,-0.3606,135.0,70.1102,1.0
20150303,159910.SZ,嘉实深证基本面120ETF,1.195,1.2,1.18,1.18,1.2,-0.02,-1.6667,1485.16,175.9037,1.0
20150303,159912.SZ,汇添富深证300ETF,1.343,1.343,1.302,1.32,1.343,-0.023,-1.7126,1860.38,247.6088,1.0
20150303,159913.SZ,交银深证300价值ETF,1.393,1.393,1.37,1.37,1.395,-0.025,-1.7921,117.0,16.1836,1.0
