日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20180802,159001.SZ,易方达保证金货币A,99.999,100.001,99.999,100.001,100.0,0.001,0.001,183956.18,1839561.159,1.0
20180802,159003.SZ,招商保证金快线A,99.999,100.001,99.999,100.001,100.0,0.001,0.001,44118.83,441188.029,1.0
20180802,159005.SZ,汇添富收益快钱货币A,99.999,100.005,99.999,100.005,100.001,0.004,0.004,1052777.99,10527780.636,1.0
20180802,159901.SZ,易方达深证100ETF,4.077,4.099,3.93,3.994,4.107,-0.113,-2.7514,250956.2,100363.201,1.031
20180802,159902.SZ,华夏中小企业100ETF,2.999,3.011,2.886,2.937,3.012,-0.075,-2.49,134104.3,39413.793,1.048
20180802,159903.SZ,南方深证成份ETF,0.987,0.988,0.938,0.96,0.99,-0.03,-3.0303,34761.31,3325.474,1.0
20180802,159905.SZ,深红利ETF,1.449,1.449,1.378,1.398,1.443,-0.045,-3.1185,27589.0,3856.198,1.0
20180802,159906.SZ,大成深证成长40ETF,0.877,0.877,0.877,0.877,0.877,0.0,0.0,1.0,0.087,1.0
20180802,159907.SZ,广发国证2000ETF,1.226,1.226,1.17,1.2,1.235,-0.035,-2.834,3457.0,411.641,1.0
20180802,159908.SZ,博时创业板ETF,1.455,1.455,1.39,1.445,1.41,0.035,2.4823,10.0,1.438,1.0
20180802,159909.SZ,深证TMT50ETF,4.264,4.264,4.108,4.181,4.3,-0.119,-2.7674,520.0,217.442,1.0
20180802,159910.SZ,嘉实深证基本面120ETF,1.534,1.534,1.468,1.492,1.534,-0.042,-2.7379,6124.0,910.923,1.0
20180802,159912.SZ,汇添富深证300ETF,1.205,1.249,1.135,1.239,1.241,-0.002,-0.1612,1106.0,129.234,1.0
20180802,159915.SZ,易方达创业板ETF,1.465,1.467,1.415,1.44,1.471,-0.031,-2.1074,8127045.53,1169029.29,1.0
20180802,159916.SZ,建信深证基本面60ETF,3.287,3.287,3.15,3.2,3.287,-0.087,-2.6468,1910.33,610.059,1.0
20180802,159918.SZ,嘉实中创400ETF,1.412,1.499,1.39,1.498,1.449,0.049,3.3816,1186.0,176.738,1.0
20180802,159919.SZ,嘉实沪深300ETF,3.807,3.807,3.678,3.725,3.812,-0.087,-2.2823,150661.35,56238.04,0.382
20180802,159920.SZ,华夏恒生ETF,1.497,1.497,1.454,1.459,1.501,-0.042,-2.7981,2514990.0,369606.151,1.052
20180802,159922.SZ,嘉实中证500ETF,5.295,5.295,5.068,5.19,5.296,-0.106,-2.0015,5022.0,2581.656,1.0
20180802,159923.SZ,大成中证A100ETF,1.453,1.47,1.425,1.448,1.465,-0.017,-1.1604,5162.0,747.81,1.0
20180802,159925.SZ,南方沪深300ETF,1.446,1.452,1.42,1.432,1.462,-0.03,-2.052,3653.22,522.975,1.0
20180802,159928.SZ,汇添富中证主要消费ETF,2.189,2.189,2.135,2.143,2.197,-0.054,-2.4579,20314.0,4366.17,1.0
20180802,159929.SZ,汇添富中证医药卫生ETF,1.587,1.6,1.558,1.582,1.589,-0.007,-0.4405,16468.29,2582.465,1.0
20180802,159930.SZ,汇添富中证能源ETF,0.72,0.72,0.705,0.716,0.728,-0.012,-1.6484,1335.0,95.311,1.0
20180802,159931.SZ,汇添富中证金融地产ETF,1.471,1.492,1.471,1.492,1.494,-0.002,-0.1339,58.0,8.541,1.0
20180802,159934.SZ,易方达黄金ETF,2.651,2.653,2.649,2.651,2.657,-0.006,-0.2258,92562.0,24536.648,1.0
20180802,159935.SZ,景顺长城中证500ETF,1.356,1.356,1.342,1.343,1.378,-0.035,-2.5399,97.0,13.079,1.0
20180802,159936.SZ,广发中证全指可选消费ETF,1.315,1.334,1.293,1.334,1.334,0.0,0.0,38.0,4.989,1.0
20180802,159937.SZ,博时黄金ETF,2.67,2.67,2.666,2.667,2.673,-0.006,-0.2245,369352.0,98563.787,1.0
20180802,159938.SZ,广发中证全指医药卫生ETF,1.326,1.329,1.295,1.32,1.332,-0.012,-0.9009,145163.0,19021.93,1.0
20180802,159939.SZ,广发中证全指信息技术ETF,0.932,0.932,0.88,0.899,0.927,-0.028,-3.0205,55534.0,4981.026,1.0
20180802,159940.SZ,广发中证全指金融地产ETF,0.817,0.82,0.791,0.8,0.817,-0.017,-2.0808,1435.0,114.91,1.0
20180802,159941.SZ,广发纳指100ETF,1.638,1.639,1.63,1.636,1.633,0.003,0.1837,7526.0,1230.163,1.0
20180802,159943.SZ,深证ETF,9.651,9.653,9.42,9.653,9.701,-0.048,-0.4948,197.53,189.524,1.0
20180802,159944.SZ,广发中证全指原材料ETF,0.777,0.782,0.752,0.754,0.781,-0.027,-3.4571,2687.06,206.359,1.0
20180802,159945.SZ,广发中证全指能源ETF,0.656,0.662,0.636,0.643,0.66,-0.017,-2.5758,628.0,40.766,1.0
20180802,159948.SZ,南方创业板ETF,1.612,1.612,1.549,1.579,1.612,-0.033,-2.0471,22796.82,3592.937,1.0
20180802,159949.SZ,华安创业板50ETF,0.563,0.565,0.542,0.551,0.565,-0.014,-2.4779,12218344.8,673579.859,1.0
20180802,159952.SZ,广发创业板ETF,0.884,0.884,0.854,0.868,0.886,-0.018,-2.0316,527026.03,45676.655,1.0
20180802,159954.SZ,南方恒生中国企业ETF,0.974,0.974,0.952,0.957,0.983,-0.026,-2.645,87197.18,8412.312,1.0
20180802,159956.SZ,建信创业板ETF,0.827,0.9,0.827,0.896,0.891,0.005,0.5612,869.01,75.647,1.0
20180802,159957.SZ,华夏创业板ETF,0.897,0.9,0.863,0.88,0.904,-0.024,-2.6549,57815.0,5097.471,1.0
20180802,159958.SZ,创业板ETF工银,0.894,0.894,0.859,0.872,0.891,-0.019,-2.1324,63971.0,5584.955,1.0
20180802,510010.SH,交银上证180公司治理ETF,1.037,1.047,1.02,1.046,1.048,-0.002,-0.1908,185.0,19.023,1.0
20180802,510020.SH,博时上证超大盘ETF,2.515,2.685,2.498,2.639,2.588,0.051,1.9706,116.9,30.669,0.101
20180802,510030.SH,上证180价值ETF,4.565,4.579,4.488,4.536,4.595,-0.059,-1.284,887.0,402.167,1.0
20180802,510050.SH,华夏上证50ETF,2.528,2.535,2.46,2.484,2.537,-0.053,-2.0891,7211972.56,1799665.064,1.259
20180802,510060.SH,工银上证央企ETF,1.698,1.698,1.65,1.664,1.698,-0.034,-2.0024,4357.92,728.817,1.0
20180802,510090.SH,建信上证社会责任ETF,1.47,1.498,1.46,1.46,1.459,0.001,0.0685,59.0,8.689,1.0
20180802,510130.SH,易方达上证中盘ETF,3.52,3.52,3.463,3.463,3.623,-0.16,-4.4162,345.0,119.815,1.0
20180802,510150.SH,招商上证消费80ETF,4.767,4.767,4.642,4.698,4.79,-0.092,-1.9207,690.0,322.006,1.0
20180802,510160.SH,南方小康ETF,0.53,0.53,0.515,0.523,0.532,-0.009,-1.6917,5321.0,277.006,1.0
20180802,510170.SH,国联安上证商品ETF,1.645,1.645,1.645,1.645,1.715,-0.07,-4.0816,0.54,0.089,1.0
