日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20221229,159001.SZ,易方达保证金货币A,100.0,100.002,99.999,100.002,100.001,0.001,0.001,43414.79,434145.818,1.0
20221229,159003.SZ,招商保证金快线A,99.999,100.0,99.995,100.0,99.999,0.001,0.001,519.46,5194.545,1.0
20221229,159005.SZ,汇添富收益快钱货币A,99.999,100.001,99.999,100.001,100.001,0.0,0.0,60.13,601.295,1.0
20221229,159601.SZ,华夏MSCI中国A50互联互通ETF,0.804,0.807,0.799,0.804,0.809,-0.005,-0.618,2897689.06,233218.139,1.0
20221229,159602.SZ,南方MSCI中国A50互联互通ETF,0.802,0.807,0.8,0.804,0.81,-0.006,-0.7407,353761.01,28441.858,1.0
20221229,159603.SZ,双创龙头ETF,0.925,0.938,0.925,0.932,0.924,0.008,0.8658,67934.0,6326.28,1.0
20221229,159605.SZ,广发中证海外中国互联网30(QDII-ETF),0.801,0.811,0.795,0.802,0.817,-0.015,-1.836,15813425.12,1270097.78,1.0
20221229,159606.SZ,易方达中证500质量成长ETF,0.834,0.84,0.829,0.836,0.833,0.003,0.3601,101275.0,8470.682,1.0
20221229,159607.SZ,嘉实中证海外中国互联网30ETF(QDII),0.806,0.814,0.8,0.805,0.82,-0.015,-1.8293,6697799.71,540620.282,1.0
20221229,159608.SZ,广发中证稀有金属ETF,0.752,0.762,0.749,0.751,0.757,-0.006,-0.7926,84722.03,6407.311,1.0
20221229,159609.SZ,浦银安盛中证光伏产业ETF,0.797,0.804,0.792,0.792,0.797,-0.005,-0.6274,297597.0,23738.121,1.0
20221229,159610.SZ,景顺长城中证500增强策略ETF,0.773,0.787,0.773,0.781,0.783,-0.002,-0.2554,775923.32,60687.827,1.0
20221229,159611.SZ,广发中证全指电力ETF,0.852,0.856,0.849,0.854,0.859,-0.005,-0.5821,872643.03,74402.074,1.0
20221229,159612.SZ,国泰标普500ETF,0.99,0.99,0.983,0.985,0.998,-0.013,-1.3026,81744.0,8047.323,1.0
20221229,159613.SZ,嘉实中证信息安全主题ETF,0.719,0.74,0.719,0.733,0.724,0.009,1.2431,88496.01,6493.78,1.0
20221229,159615.SZ,南方恒生生物科技ETF(QDII),1.018,1.039,1.013,1.037,1.024,0.013,1.2695,689345.28,70825.284,1.0
20221229,159616.SZ,建信中证农牧主题ETF,0.88,0.882,0.877,0.879,0.885,-0.006,-0.678,14996.34,1320.049,1.0
20221229,159617.SZ,华夏中证智选500价值稳健策略ETF,0.956,0.961,0.953,0.954,0.96,-0.006,-0.625,26343.13,2517.998,1.0
20221229,159618.SZ,华安中证光伏产业ETF,1.089,1.108,1.086,1.096,1.095,0.001,0.0913,116974.0,12849.464,1.0
20221229,159619.SZ,国泰中证基建ETF,0.848,0.848,0.838,0.841,0.848,-0.007,-0.8255,326787.27,27467.066,1.0
20221229,159620.SZ,华夏中证智选500成长创新策略ETF,0.926,0.926,0.923,0.926,0.919,0.007,0.7617,123.01,11.374,1.0
20221229,159621.SZ,国泰MSCI中国A股ESG通用ETF,0.955,0.958,0.952,0.956,0.96,-0.004,-0.4167,4580.07,437.644,1.0
20221229,159623.SZ,博时成渝经济圈ETF,0.875,0.876,0.872,0.875,0.879,-0.004,-0.4551,3314.0,289.963,1.0
20221229,159625.SZ,嘉实国证绿色电力ETF,1.05,1.05,1.035,1.038,1.045,-0.007,-0.6699,352540.0,36611.451,1.0
20221229,159627.SZ,华夏中证A100ETF,1.024,1.024,1.017,1.021,1.023,-0.002,-0.1955,6753.0,688.923,1.0
20221229,159628.SZ,万家国证2000ETF,0.927,0.938,0.927,0.929,0.931,-0.002,-0.2148,96381.0,8989.27,1.0
20221229,159629.SZ,富国中证1000ETF,1.87,1.894,1.87,1.879,1.88,-0.001,-0.0532,7203278.96,1356312.485,0.468
20221229,159630.SZ,汇添富中证A100ETF,1.053,1.058,1.048,1.053,1.057,-0.004,-0.3784,104515.41,11002.912,1.0
20221229,159631.SZ,招商中证A100ETF,0.916,0.92,0.912,0.916,0.92,-0.004,-0.4348,181878.33,16642.336,1.0
20221229,159632.SZ,华安纳斯达克100ETF(QDII),0.871,0.871,0.868,0.869,0.879,-0.01,-1.1377,6204408.0,539281.482,1.0
20221229,159633.SZ,易方达中证1000ETF,1.87,1.897,1.87,1.879,1.882,-0.003,-0.1594,7547001.46,1424656.822,0.472
20221229,159635.SZ,华夏中证基建ETF,0.907,0.908,0.901,0.903,0.912,-0.009,-0.9868,289279.07,26114.649,1.0
20221229,159636.SZ,港股通科技30ETF,0.93,0.94,0.92,0.922,0.928,-0.006,-0.6466,1120585.0,103810.674,1.0
20221229,159637.SZ,新能源车龙头ETF,0.816,0.835,0.816,0.826,0.825,0.001,0.1212,624330.23,51782.81,1.0
20221229,159638.SZ,嘉实中证高端装备细分50ETF,0.847,0.876,0.847,0.87,0.853,0.017,1.993,721577.97,62250.24,1.0
20221229,159639.SZ,南方中证上海环交所碳中和ETF,0.809,0.812,0.804,0.805,0.81,-0.005,-0.6173,232003.27,18727.935,1.0
20221229,159640.SZ,碳中和龙头ETF,0.814,0.817,0.812,0.814,0.816,-0.002,-0.2451,214223.38,17435.878,1.0
20221229,159641.SZ,招商中证上海环交所碳中和ETF,0.816,0.821,0.816,0.816,0.821,-0.005,-0.609,27567.02,2257.6,1.0
20221229,159642.SZ,大成中证上海环交所碳中和ETF,0.818,0.822,0.817,0.817,0.822,-0.005,-0.6083,86453.76,7082.797,1.0
20221229,159643.SZ,国泰国证疫苗与生物科技ETF,0.926,0.949,0.922,0.943,0.926,0.017,1.8359,207789.0,19578.566,1.0
20221229,159645.SZ,富国国证疫苗与生物科技ETF,1.051,1.081,1.051,1.073,1.053,0.02,1.8993,115936.0,12401.061,1.0
20221229,159647.SZ,中药ETF,1.037,1.06,1.034,1.054,1.04,0.014,1.3462,667277.1,70007.716,1.0
20221229,159649.SZ,华安中债1-5年国开行债券ETF,100.08,100.239,100.08,100.185,100.079,0.106,0.1059,323342.98,3238791.443,1.0
20221229,159650.SZ,博时中债0-3年国开行ETF,100.19,100.3,100.19,100.262,100.19,0.072,0.0719,131688.52,1320280.143,1.0
20221229,159651.SZ,平安中债-0-3年国开行债券ETF,100.055,100.244,100.055,100.165,100.09,0.075,0.0749,34969.5,350303.054,1.0
20221229,159655.SZ,华夏标普500ETF(QDII),0.962,0.964,0.954,0.955,0.967,-0.012,-1.241,9818.0,938.66,1.0
20221229,159658.SZ,华安中证数字经济主题ETF,1.065,1.08,1.062,1.075,1.067,0.008,0.7498,177507.02,19078.512,1.0
20221229,159662.SZ,南方国证交通运输行业ETF,1.018,1.018,1.006,1.007,1.019,-0.012,-1.1776,132374.01,13360.606,1.0
20221229,159663.SZ,华夏中证机床ETF,0.93,0.936,0.927,0.929,0.93,-0.001,-0.1075,231920.01,21588.011,1.0
20221229,159667.SZ,国泰中证机床ETF,0.914,0.921,0.91,0.911,0.914,-0.003,-0.3282,295970.0,27061.331,1.0
20221229,159675.SZ,嘉实创业板增强策略ETF,0.996,1.007,0.994,1.003,0.997,0.006,0.6018,351681.93,35210.901,1.0
20221229,159677.SZ,1000增强ETF,0.959,0.968,0.959,0.961,0.961,0.0,0.0,209007.11,20120.309,1.0
20221229,159680.SZ,招商中证1000增强策略ETF,0.952,0.961,0.949,0.955,0.953,0.002,0.2099,312380.89,29844.538,1.0
20221229,159701.SZ,招商中证物联网主题ETF,0.668,0.676,0.667,0.675,0.67,0.005,0.7463,3509.03,235.36,1.0
20221229,159703.SZ,天弘中证新材料主题ETF,0.861,0.863,0.856,0.858,0.861,-0.003,-0.3484,32323.0,2776.879,1.0
20221229,159706.SZ,深证100ETF华安,0.737,0.741,0.735,0.74,0.741,-0.001,-0.135,83153.0,6137.631,1.0
20221229,159707.SZ,华宝中证800地产ETF,0.932,0.932,0.842,0.914,0.935,-0.021,-2.246,302435.0,27608.59,1.0
20221229,159708.SZ,红利ETF,0.748,0.748,0.74,0.743,0.752,-0.009,-1.1968,148572.0,11039.471,1.0
20221229,159709.SZ,物联网ETF工银,0.7,0.704,0.699,0.704,0.702,0.002,0.2849,514.06,35.99,1.0
20221229,159711.SZ,华夏中证港股通50ETF,0.954,0.955,0.949,0.952,0.954,-0.002,-0.2096,25067.0,2389.665,1.0
20221229,159712.SZ,国泰中证港股通50ETF,0.894,0.913,0.881,0.901,0.903,-0.002,-0.2215,102085.0,9202.688,1.0
20221229,159713.SZ,富国中证稀土产业ETF,0.785,0.79,0.78,0.782,0.79,-0.008,-1.0127,374695.0,29347.99,1.0
20221229,159715.SZ,易方达中证稀土产业ETF,0.7,0.701,0.692,0.693,0.7,-0.007,-1.0,215188.0,14953.616,1.0
20221229,159716.SZ,华宝深创100ETF,0.717,0.726,0.717,0.723,0.721,0.002,0.2774,39417.01,2847.659,1.0
20221229,159717.SZ,ESGETF,0.848,0.853,0.848,0.853,0.854,-0.001,-0.1171,3011.0,255.439,1.0
20221229,159718.SZ,平安中证港股医药ETF,0.878,0.894,0.875,0.892,0.882,0.01,1.1338,71584.0,6347.271,1.0
20221229,159719.SZ,平安富时中国国企开放共赢ETF,1.041,1.05,1.037,1.047,1.053,-0.006,-0.5698,1328.0,138.62,1.0
20221229,159720.SZ,智能车TK,0.714,0.725,0.714,0.718,0.716,0.002,0.2793,91853.0,6610.706,1.0
20221229,159721.SZ,深创龙头ETF,0.71,0.716,0.708,0.712,0.71,0.002,0.2817,11228.11,795.222,1.0
20221229,159723.SZ,汇添富中证沪港深科技龙头ETF,0.697,0.71,0.697,0.706,0.702,0.004,0.5698,60174.02,4239.623,1.0
20221229,159725.SZ,线上消费ETF,0.656,0.661,0.654,0.654,0.656,-0.002,-0.3049,2837.0,185.722,1.0
20221229,159726.SZ,华夏恒生中国内地企业高股息率ETF,0.819,0.819,0.807,0.809,0.819,-0.01,-1.221,125923.0,10205.619,1.0
