日期,代码,名称,开盘价,最高价,最低价,收盘价,上日收盘,涨跌,涨幅%,成交量(手数),成交额(千元),复权因子
20191128,159001.SZ,易方达保证金货币A,99.999,100.001,99.999,100.001,100.0,0.001,0.001,70527.11,705271.076,1.0
20191128,159003.SZ,招商保证金快线A,100.001,100.001,99.999,100.0,99.999,0.001,0.001,433.08,4330.789,1.0
20191128,159005.SZ,汇添富收益快钱货币A,100.0,100.001,99.999,100.001,99.999,0.002,0.002,35.05,350.499,1.0
20191128,159901.SZ,易方达深证100ETF,4.85,4.874,4.831,4.845,4.85,-0.005,-0.1031,201716.28,97914.851,1.031
20191128,159902.SZ,华夏中小企业100ETF,3.012,3.022,2.989,2.998,3.013,-0.015,-0.4978,61492.0,18478.098,1.048
20191128,159903.SZ,南方深证成份ETF,1.06,1.064,1.056,1.06,1.06,0.0,0.0,3199.78,339.808,1.0
20191128,159905.SZ,深红利ETF,1.919,1.924,1.908,1.912,1.92,-0.008,-0.4167,263318.0,50428.773,1.0
20191128,159906.SZ,大成深证成长40ETF,0.898,0.898,0.898,0.898,0.898,0.0,0.0,22.0,1.975,1.0
20191128,159907.SZ,广发国证2000ETF,1.219,1.221,1.213,1.214,1.22,-0.006,-0.4918,634.0,77.153,1.0
20191128,159908.SZ,博时创业板ETF,1.44,1.449,1.438,1.438,1.44,-0.002,-0.1389,6778.0,980.736,1.0
20191128,159909.SZ,深证TMT50ETF,4.737,4.763,4.713,4.725,4.747,-0.022,-0.4635,2793.0,1324.587,1.0
20191128,159910.SZ,嘉实深证基本面120ETF,1.866,1.866,1.846,1.849,1.855,-0.006,-0.3235,1860.0,344.899,1.0
20191128,159912.SZ,汇添富深证300ETF,1.306,1.306,1.288,1.296,1.293,0.003,0.232,1352.0,174.764,1.0
20191128,159913.SZ,交银深证300价值ETF,1.889,1.889,1.889,1.889,1.885,0.004,0.2122,213.0,40.235,1.0
20191128,159915.SZ,易方达创业板ETF,1.608,1.62,1.605,1.611,1.611,0.0,0.0,1745428.57,281463.781,1.0
20191128,159916.SZ,建信深证基本面60ETF,4.19,4.194,4.139,4.143,4.159,-0.016,-0.3847,661.0,275.16,1.0
20191128,159918.SZ,嘉实中创400ETF,1.384,1.384,1.384,1.384,1.38,0.004,0.2899,1.0,0.138,1.0
20191128,159919.SZ,嘉实沪深300ETF,3.933,3.947,3.916,3.925,3.933,-0.008,-0.2034,757575.53,297840.59,0.425
20191128,159920.SZ,华夏恒生ETF,1.486,1.493,1.483,1.488,1.49,-0.002,-0.1342,4077332.0,606578.419,1.052
20191128,159922.SZ,嘉实中证500ETF,5.174,5.19,5.149,5.161,5.172,-0.011,-0.2127,145000.0,75006.714,1.0
20191128,159923.SZ,大成中证A100ETF,1.745,1.758,1.74,1.754,1.758,-0.004,-0.2275,1260.0,219.572,1.0
20191128,159925.SZ,南方沪深300ETF,1.703,1.712,1.699,1.703,1.706,-0.003,-0.1758,1429.84,243.502,1.0
20191128,159928.SZ,汇添富中证主要消费ETF,3.004,3.015,2.981,2.993,3.002,-0.009,-0.2998,58767.0,17625.605,1.0
20191128,159929.SZ,汇添富中证医药卫生ETF,1.555,1.558,1.548,1.551,1.553,-0.002,-0.1288,18425.0,2861.733,1.0
