日期,ETF代码,EMA快线,EMA慢线,DIF,DEA,MACD柱,DIF高于DEA,DIF高于零轴,DEA高于零轴,DIF_DEA差值,DIF强度,MACD强度,计算时间
2022-07-18,513280,0.968,0.968,0.0,0.0,0.0,否,否,否,0.0,0.0,0.0,2025-06-29 16:58:46
2022-07-19,513280,0.965111,0.966556,-0.001444,-0.000289,-0.002311,否,否,否,-0.001155,0.001444,0.002311,2025-06-29 16:58:46
2022-07-20,513280,0.966642,0.96716,-0.000519,-0.000335,-0.000367,否,否,否,-0.000184,0.000519,0.000367,2025-06-29 16:58:46
2022-07-21,513280,0.968277,0.96792,0.000357,-0.000197,0.001106,是,是,否,0.000554,0.000357,0.001106,2025-06-29 16:58:46
2022-07-22,513280,0.967771,0.967707,6.4e-05,-0.000144,0.000417,是,是,否,0.000208,6.4e-05,0.000417,2025-06-29 16:58:46
2022-07-25,513280,0.963155,0.965406,-0.002251,-0.000566,-0.003371,否,否,否,-0.001685,0.002251,0.003371,2025-06-29 16:58:46
2022-07-26,513280,0.961343,0.96425,-0.002907,-0.001034,-0.003746,否,否,否,-0.001873,0.002907,0.003746,2025-06-29 16:58:46
2022-07-27,513280,0.956822,0.961667,-0.004844,-0.001796,-0.006097,否,否,否,-0.003048,0.004844,0.006097,2025-06-29 16:58:46
2022-07-28,513280,0.955751,0.960593,-0.004842,-0.002405,-0.004873,否,否,否,-0.002437,0.004842,0.004873,2025-06-29 16:58:46
2022-07-29,513280,0.947806,0.956082,-0.008276,-0.003579,-0.009394,否,否,否,-0.004697,0.008276,0.009394,2025-06-29 16:58:46
2022-08-01,513280,0.941405,0.951962,-0.010557,-0.004975,-0.011165,否,否,否,-0.005582,0.010557,0.011165,2025-06-29 16:58:46
2022-08-02,513280,0.929315,0.944744,-0.015429,-0.007066,-0.016727,否,否,否,-0.008363,0.015429,0.016727,2025-06-29 16:58:46
2022-08-03,513280,0.920578,0.938661,-0.018083,-0.009269,-0.017628,否,否,否,-0.008814,0.018083,0.017628,2025-06-29 16:58:46
2022-08-04,513280,0.919116,0.935921,-0.016805,-0.010776,-0.012057,否,否,否,-0.006029,0.016805,0.012057,2025-06-29 16:58:46
2022-08-05,513280,0.922646,0.935819,-0.013173,-0.011256,-0.003834,否,否,否,-0.001917,0.013173,0.003834,2025-06-29 16:58:46
2022-08-08,513280,0.924947,0.935506,-0.010559,-0.011116,0.001115,是,否,否,0.000557,0.010559,0.001115,2025-06-29 16:58:46
2022-08-09,513280,0.925848,0.934783,-0.008935,-0.01068,0.00349,是,否,否,0.001745,0.008935,0.00349,2025-06-29 16:58:46
2022-08-10,513280,0.918326,0.930029,-0.011703,-0.010885,-0.001637,否,否,否,-0.000818,0.011703,0.001637,2025-06-29 16:58:46
2022-08-11,513280,0.919142,0.929137,-0.009995,-0.010707,0.001424,是,否,否,0.000712,0.009995,0.001424,2025-06-29 16:58:46
2022-08-12,513280,0.919555,0.928233,-0.008678,-0.010301,0.003246,是,否,否,0.001623,0.008678,0.003246,2025-06-29 16:58:46
2022-08-15,513280,0.92121,0.928096,-0.006886,-0.009618,0.005463,是,否,否,0.002732,0.006886,0.005463,2025-06-29 16:58:46
2022-08-16,513280,0.918941,0.926196,-0.007256,-0.009146,0.00378,是,否,否,0.00189,0.007256,0.00378,2025-06-29 16:58:46
2022-08-17,513280,0.916732,0.924286,-0.007554,-0.008827,0.002547,是,否,否,0.001273,0.007554,0.002547,2025-06-29 16:58:46
2022-08-18,513280,0.912569,0.921365,-0.008796,-0.008821,5e-05,是,否,否,2.5e-05,0.008796,5e-05,2025-06-29 16:58:46
2022-08-19,513280,0.907332,0.917769,-0.010437,-0.009144,-0.002586,否,否,否,-0.001293,0.010437,0.002586,2025-06-29 16:58:46
2022-08-22,513280,0.903925,0.914906,-0.010981,-0.009512,-0.002939,否,否,否,-0.001469,0.010981,0.002939,2025-06-29 16:58:46
2022-08-23,513280,0.89883,0.911138,-0.012308,-0.010071,-0.004475,否,否,否,-0.002237,0.012308,0.004475,2025-06-29 16:58:46
2022-08-24,513280,0.891535,0.906123,-0.014588,-0.010974,-0.007228,否,否,否,-0.003614,0.014588,0.007228,2025-06-29 16:58:46
2022-08-25,513280,0.891194,0.904332,-0.013138,-0.011407,-0.003462,否,否,否,-0.001731,0.013138,0.003462,2025-06-29 16:58:46
2022-08-26,513280,0.894262,0.904406,-0.010144,-0.011155,0.002021,是,否,否,0.001011,0.010144,0.002021,2025-06-29 16:58:46
2022-08-29,513280,0.894648,0.903472,-0.008824,-0.010688,0.003729,是,否,否,0.001864,0.008824,0.003729,2025-06-29 16:58:46
2022-08-30,513280,0.893393,0.901864,-0.008471,-0.010245,0.003548,是,否,否,0.001774,0.008471,0.003548,2025-06-29 16:58:46
2022-08-31,513280,0.894861,0.901657,-0.006796,-0.009555,0.005519,是,否,否,0.002759,0.006796,0.005519,2025-06-29 16:58:46
2022-09-01,513280,0.894003,0.900473,-0.00647,-0.008938,0.004937,是,否,否,0.002468,0.00647,0.004937,2025-06-29 16:58:46
2022-09-02,513280,0.891558,0.898531,-0.006973,-0.008545,0.003143,是,否,否,0.001572,0.006973,0.003143,2025-06-29 16:58:46
2022-09-05,513280,0.885878,0.894917,-0.009038,-0.008644,-0.000789,否,否,否,-0.000394,0.009038,0.000789,2025-06-29 16:58:46
2022-09-06,513280,0.880572,0.891259,-0.010687,-0.009052,-0.00327,否,否,否,-0.001635,0.010687,0.00327,2025-06-29 16:58:46
2022-09-07,513280,0.876667,0.888119,-0.011452,-0.009532,-0.00384,否,否,否,-0.00192,0.011452,0.00384,2025-06-29 16:58:46
2022-09-08,513280,0.870074,0.883551,-0.013476,-0.010321,-0.00631,否,否,否,-0.003155,0.013476,0.00631,2025-06-29 16:58:46
2022-09-09,513280,0.870947,0.882489,-0.011543,-0.010565,-0.001954,否,否,否,-0.000978,0.011543,0.001954,2025-06-29 16:58:46
2022-09-13,513280,0.86607,0.878768,-0.012699,-0.010992,-0.003413,否,否,否,-0.001707,0.012699,0.003413,2025-06-29 16:58:46
2022-09-14,513280,0.858499,0.873572,-0.015073,-0.011808,-0.00653,否,否,否,-0.003265,0.015073,0.00653,2025-06-29 16:58:46
2022-09-15,513280,0.854388,0.869842,-0.015454,-0.012537,-0.005833,否,否,否,-0.002917,0.015454,0.005833,2025-06-29 16:58:46
2022-09-16,513280,0.847857,0.864859,-0.017002,-0.01343,-0.007143,否,否,否,-0.003572,0.017002,0.007143,2025-06-29 16:58:46
2022-09-19,513280,0.837,0.857542,-0.020541,-0.014853,-0.011378,否,否,否,-0.005688,0.020541,0.011378,2025-06-29 16:58:46
2022-09-20,513280,0.829222,0.85137,-0.022148,-0.016312,-0.011673,否,否,否,-0.005836,0.022148,0.011673,2025-06-29 16:58:46
2022-09-21,513280,0.820284,0.84444,-0.024156,-0.017881,-0.012551,否,否,否,-0.006275,0.024156,0.012551,2025-06-29 16:58:46
2022-09-22,513280,0.808221,0.835725,-0.027504,-0.019805,-0.015397,否,否,否,-0.007699,0.027504,0.015397,2025-06-29 16:58:46
2022-09-23,513280,0.795061,0.826089,-0.031028,-0.02205,-0.017956,否,否,否,-0.008978,0.031028,0.017956,2025-06-29 16:58:46
2022-09-26,513280,0.785269,0.817745,-0.032476,-0.024135,-0.016682,否,否,否,-0.008341,0.032476,0.016682,2025-06-29 16:58:46
2022-09-27,513280,0.784321,0.813663,-0.029342,-0.025176,-0.008331,否,否,否,-0.004166,0.029342,0.008331,2025-06-29 16:58:46
2022-09-28,513280,0.779583,0.808033,-0.028451,-0.025831,-0.005239,否,否,否,-0.00262,0.028451,0.005239,2025-06-29 16:58:46
2022-09-29,513280,0.775453,0.802807,-0.027354,-0.026136,-0.002437,否,否,否,-0.001218,0.027354,0.002437,2025-06-29 16:58:46
2022-09-30,513280,0.771797,0.79794,-0.026143,-0.026137,-1.1e-05,否,否,否,-6e-06,0.026143,1.1e-05,2025-06-29 16:58:46
2022-10-10,513280,0.764731,0.791502,-0.026771,-0.026264,-0.001014,否,否,否,-0.000507,0.026771,0.001014,2025-06-29 16:58:46
2022-10-11,513280,0.758791,0.785558,-0.026767,-0.026365,-0.000804,否,否,否,-0.000402,0.026767,0.000804,2025-06-29 16:58:46
2022-10-12,513280,0.756393,0.781384,-0.024992,-0.02609,0.002197,是,否,否,0.001098,0.024992,0.002197,2025-06-29 16:58:46
2022-10-13,513280,0.75275,0.776786,-0.024036,-0.025679,0.003286,是,否,否,0.001643,0.024036,0.003286,2025-06-29 16:58:46
2022-10-14,513280,0.760806,0.778143,-0.017338,-0.024011,0.013346,是,否,否,0.006673,0.017338,0.013346,2025-06-29 16:58:46
2022-10-17,513280,0.767293,0.779461,-0.012167,-0.021642,0.01895,是,否,否,0.009475,0.012167,0.01895,2025-06-29 16:58:46
2022-10-18,513280,0.780339,0.784632,-0.004293,-0.018172,0.027759,是,否,否,0.013879,0.004293,0.027759,2025-06-29 16:58:46
2022-10-19,513280,0.787153,0.787562,-0.000409,-0.01462,0.028422,是,否,否,0.014211,0.000409,0.028422,2025-06-29 16:58:46
2022-10-20,513280,0.790452,0.789166,0.001286,-0.011438,0.025449,是,是,否,0.012724,0.001286,0.025449,2025-06-29 16:58:46
2022-10-21,513280,0.797685,0.792925,0.00476,-0.008199,0.025917,是,是,否,0.012959,0.00476,0.025917,2025-06-29 16:58:46
2022-10-24,513280,0.789977,0.7896,0.000377,-0.006484,0.013721,是,是,否,0.006861,0.000377,0.013721,2025-06-29 16:58:46
2022-10-25,513280,0.788649,0.788978,-0.000329,-0.005253,0.009847,是,否,否,0.004924,0.000329,0.009847,2025-06-29 16:58:46
2022-10-26,513280,0.792949,0.791091,0.001858,-0.003831,0.011377,是,是,否,0.005689,0.001858,0.011377,2025-06-29 16:58:46
2022-10-27,513280,0.796294,0.79297,0.003324,-0.0024,0.011447,是,是,否,0.005724,0.003324,0.011447,2025-06-29 16:58:46
2022-10-28,513280,0.792673,0.791529,0.001144,-0.001691,0.00567,是,是,否,0.002835,0.001144,0.00567,2025-06-29 16:58:46
2022-10-31,513280,0.78919,0.789915,-0.000725,-0.001498,0.001546,是,否,否,0.000773,0.000725,0.001546,2025-06-29 16:58:46
2022-11-01,513280,0.796703,0.793591,0.003113,-0.000576,0.007376,是,是,否,0.003689,0.003113,0.007376,2025-06-29 16:58:46
2022-11-02,513280,0.814547,0.802859,0.011689,0.001877,0.019623,是,是,是,0.009812,0.011689,0.019623,2025-06-29 16:58:46
2022-11-03,513280,0.822426,0.808096,0.014329,0.004368,0.019923,是,是,是,0.009961,0.014329,0.019923,2025-06-29 16:58:46
2022-11-04,513280,0.836998,0.816975,0.020023,0.007499,0.025049,是,是,是,0.012524,0.020023,0.025049,2025-06-29 16:58:46
2022-11-07,513280,0.853665,0.827533,0.026132,0.011225,0.029813,是,是,是,0.014907,0.026132,0.029813,2025-06-29 16:58:46
2022-11-08,513280,0.86285,0.835029,0.027821,0.014544,0.026553,是,是,是,0.013277,0.027821,0.026553,2025-06-29 16:58:46
2022-11-09,513280,0.865106,0.839248,0.025858,0.016807,0.018101,是,是,是,0.009051,0.025858,0.018101,2025-06-29 16:58:46
