代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列
562500,2025-06-27,0.832,0.8237,0.82875,0.838783,0.00325,0.3922,0.0083,弱势多头
562500,2025-06-26,0.8242,0.8218,0.82905,0.840017,-0.00485,-0.585,0.0024,弱势多头
562500,2025-06-25,0.8194,0.8211,0.82875,0.841417,-0.00935,-1.1282,-0.0017,强势空头排列
562500,2025-06-24,0.815,0.82,0.82835,0.8428,-0.01335,-1.6116,-0.005,强势空头排列
562500,2025-06-23,0.812,0.8199,0.8292,0.844233,-0.0172,-2.0743,-0.0079,强势空头排列
562500,2025-06-20,0.8154,0.8239,0.83135,0.846433,-0.01595,-1.9186,-0.0085,强势空头排列
562500,2025-06-19,0.8194,0.828,0.8341,0.8488,-0.0147,-1.7624,-0.0086,强势空头排列
562500,2025-06-18,0.8228,0.831,0.83655,0.851417,-0.01375,-1.6437,-0.0082,强势空头排列
562500,2025-06-17,0.825,0.832,0.83895,0.854067,-0.01395,-1.6628,-0.007,强势空头排列
562500,2025-06-16,0.8278,0.8331,0.8415,0.856883,-0.0137,-1.628,-0.0053,强势空头排列
562500,2025-06-13,0.8324,0.8338,0.84405,0.859433,-0.01165,-1.3802,-0.0014,强势空头排列
562500,2025-06-12,0.8366,0.8363,0.84645,,-0.00985,-1.1637,0.0003,弱势多头
562500,2025-06-11,0.8392,0.8364,0.8491,,-0.0099,-1.1659,0.0028,弱势多头
562500,2025-06-10,0.839,0.8367,0.8517,,-0.0127,-1.4911,0.0023,弱势多头
562500,2025-06-09,0.8384,0.8385,0.85495,,-0.01655,-1.9358,-0.0001,中期空头排列
562500,2025-06-06,0.8352,0.8388,0.8563,,-0.0211,-2.4641,-0.0036,中期空头排列
562500,2025-06-05,0.836,0.8402,0.8585,,-0.0225,-2.6209,-0.0042,中期空头排列
562500,2025-06-04,0.8336,0.8421,0.86005,,-0.02645,-3.0754,-0.0085,中期空头排列
562500,2025-06-03,0.8344,0.8459,0.8623,,-0.0279,-3.2355,-0.0115,中期空头排列
562500,2025-05-30,0.8386,0.8499,0.8638,,-0.0252,-2.9173,-0.0113,中期空头排列
562500,2025-05-29,0.8424,0.8543,0.864,,-0.0216,-2.5,-0.0119,中期空头排列
562500,2025-05-28,0.8444,0.8566,0.86275,,-0.01835,-2.1269,-0.0122,中期空头排列
562500,2025-05-27,0.8506,0.8618,0.86265,,-0.01205,-1.3969,-0.0112,中期空头排列
562500,2025-05-26,0.8574,0.8667,0.8622,,-0.0048,-0.5567,-0.0093,弱势空头
562500,2025-05-23,0.8612,0.8714,0.8616,,-0.0004,-0.0464,-0.0102,弱势空头
562500,2025-05-22,0.8662,0.8738,0.8598,,0.0064,0.7444,-0.0076,弱势空头
562500,2025-05-21,0.8688,0.8768,0.85795,,0.01085,1.2646,-0.008,弱势空头
562500,2025-05-20,0.873,0.878,0.85455,,0.01845,2.159,-0.005,弱势空头
562500,2025-05-19,0.876,0.8787,0.85085,,0.02515,2.9559,-0.0027,弱势空头
562500,2025-05-16,0.8816,0.8777,0.84745,,0.03415,4.0297,0.0039,中期多头排列
562500,2025-05-15,0.8814,0.8737,0.8443,,0.0371,4.3942,0.0077,中期多头排列
562500,2025-05-14,0.8848,0.8689,0.8416,,0.0432,5.1331,0.0159,中期多头排列
562500,2025-05-13,0.883,0.8635,0.8379,,0.0451,5.3825,0.0195,中期多头排列
562500,2025-05-12,0.8814,0.8577,0.83345,,0.04795,5.7532,0.0237,中期多头排列
562500,2025-05-09,0.8738,0.8518,0.8273,,0.0465,5.6207,0.022,中期多头排列
562500,2025-05-08,0.866,0.8458,0.8214,,0.0446,5.4298,0.0202,中期多头排列
562500,2025-05-07,0.853,0.8391,0.8169,,0.0361,4.4191,0.0139,中期多头排列
562500,2025-05-06,0.844,0.8311,0.8172,,0.0268,3.2795,0.0129,中期多头排列
562500,2025-04-30,0.834,0.823,0.81845,,0.01555,1.8999,0.011,中期多头排列
562500,2025-04-29,0.8298,0.8172,0.8202,,0.0096,1.1704,0.0126,弱势多头
562500,2025-04-28,0.8256,0.8149,0.8236,,0.002,0.2428,0.0107,弱势多头
562500,2025-04-25,0.8252,0.8143,0.82825,,-0.00305,-0.3682,0.0109,弱势多头
