代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5
159567,20250627,1.505667,1.515333,1.5066,1.511805,0.003528,0.2334,-0.009666
159567,20250626,1.53,1.524467,1.511891,1.511848,0.012619,0.8347,0.005533
159567,20250625,1.543833,1.5228,1.5156,1.508881,0.013919,0.9225,0.021033
159567,20250624,1.5165,1.500733,1.510273,1.500033,0.0007,0.0467,0.015767
159567,20250623,1.4815,1.480133,1.507909,1.491267,-0.011134,-0.7466,0.001367
159567,20250620,1.4615,1.474867,1.511545,1.4847,-0.009833,-0.6623,-0.013367
159567,20250619,1.472333,1.495133,1.524055,1.482167,0.012966,0.8748,-0.0228
159567,20250618,1.505667,1.5294,1.536836,1.4795,0.0499,3.3728,-0.023733
159567,20250617,1.531333,1.552267,1.540164,1.471538,0.080729,5.486,-0.020934
159567,20250616,1.584167,1.581867,1.542709,1.463005,0.118862,8.1245,0.0023
159567,20250613,1.5945,1.580467,1.527018,1.445267,0.1352,9.3547,0.014033
159567,20250612,1.591333,1.5634,1.504073,1.424,0.1394,9.7893,0.027933
159567,20250611,1.543,1.516,1.466673,1.396257,0.119743,8.576,0.027
159567,20250610,1.516,1.487333,1.439491,1.374476,0.112857,8.2109,0.028667
159567,20250609,1.461667,1.445067,1.406018,1.350371,0.094696,7.0126,0.0166
159567,20250606,1.423833,1.412267,1.379127,1.330362,0.081905,6.1566,0.011566
159567,20250605,1.407667,1.3952,1.360945,1.315271,0.079929,6.077,0.012467
159567,20250604,1.3975,1.380467,1.346164,1.302005,0.078462,6.0262,0.017033
159567,20250603,1.365667,1.3508,1.325164,1.286038,0.064762,5.0358,0.014867
159567,20250530,1.3455,1.33,1.310582,1.274271,0.055729,4.3734,0.0155
159567,20250529,1.327,1.311867,1.297273,1.26401,0.047857,3.7861,0.015133
159567,20250528,1.291833,1.2886,1.280655,1.253105,0.035495,2.8326,0.003233
159567,20250527,1.285667,1.2858,1.273036,1.24779,0.03801,3.0462,-0.000133
159567,20250526,1.2735,1.2798,1.262145,1.241748,0.038052,3.0644,-0.0063
159567,20250523,1.290167,1.286133,1.2574,1.23969,0.046443,3.7463,0.004034
159567,20250522,1.290333,1.277133,1.245709,1.2344,0.042733,3.4618,0.0132
159567,20250521,1.284333,1.263467,1.233727,1.229214,0.034253,2.7866,0.020866
159567,20250520,1.254167,1.236,1.216582,1.221505,0.014495,1.1867,0.018167
159567,20250519,1.216833,1.208067,1.202436,1.214971,-0.006904,-0.5682,0.008766
159567,20250516,1.200667,1.194333,1.198818,1.213319,-0.018986,-1.5648,0.006334
159567,20250515,1.186,1.185467,1.1984,1.212867,-0.0274,-2.2591,0.000533
159567,20250514,1.184,1.188533,1.204655,1.215467,-0.026934,-2.2159,-0.004533
159567,20250513,1.183,1.190467,1.211073,1.217181,-0.026714,-2.1947,-0.007467
159567,20250512,1.190833,1.200533,1.220709,1.21939,-0.018857,-1.5464,-0.0097
159567,20250509,1.213167,1.221667,1.234327,1.222471,-0.000804,-0.0658,-0.0085
159567,20250508,1.216833,1.228,1.238909,1.21989,0.00811,0.6648,-0.011167
159567,20250507,1.233833,1.239867,1.244909,1.21789,0.021977,1.8045,-0.006034
159567,20250506,1.257333,1.255467,1.249709,1.216014,0.039453,3.2445,0.001866
159567,20250430,1.252833,1.255067,1.243455,1.209438,0.045629,3.7727,-0.002234
159567,20250429,1.250833,1.253533,1.235491,1.203148,0.050385,4.1878,-0.0027
159567,20250428,1.255333,1.253,1.227636,1.197367,0.055633,4.6463,0.002333
159567,20250425,1.264,1.252133,1.220945,1.192467,0.059666,5.0036,0.011867
159567,20250424,1.251667,1.2338,1.206709,1.184519,0.049281,4.1604,0.017867
159567,20250423,1.226,1.207933,1.189691,1.176071,0.031862,2.7092,0.018067
159567,20250422,1.203,1.1876,1.175291,1.170305,0.017295,1.4778,0.0154
159567,20250421,1.169167,1.166,1.158491,1.164652,0.001348,0.1157,0.003167
159567,20250418,1.1525,1.160667,1.148855,1.163152,-0.002485,-0.2136,-0.008167
159567,20250417,1.158,1.1658,1.147073,1.165105,0.000695,0.0597,-0.0078
